Gene Names	Gene Ontology IDs	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)
ctxA toxA VC_1457	GO:0005534; GO:0005615; GO:0008289; GO:0016757; GO:0016779; GO:0042531; GO:0042597; GO:0090729; GO:0141104; GO:1902494	positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; symbiont-mediated activation of host G protein-coupled receptor signal transduction [GO:0141104]	catalytic complex [GO:1902494]; extracellular space [GO:0005615]; periplasmic space [GO:0042597]	galactose binding [GO:0005534]; glycosyltransferase activity [GO:0016757]; lipid binding [GO:0008289]; nucleotidyltransferase activity [GO:0016779]; toxin activity [GO:0090729]
ctxB toxB VC_1456	GO:0005534; GO:0005576; GO:0016020; GO:0020002; GO:0042531; GO:0042597; GO:0046812; GO:0090729; GO:1902494	positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]	catalytic complex [GO:1902494]; extracellular region [GO:0005576]; host cell plasma membrane [GO:0020002]; membrane [GO:0016020]; periplasmic space [GO:0042597]	galactose binding [GO:0005534]; host cell surface binding [GO:0046812]; toxin activity [GO:0090729]
hlyA VC_A0219	GO:0005576; GO:0016020; GO:0020002; GO:0030246; GO:0042802; GO:0051715; GO:0090729	cytolysis in another organism [GO:0051715]	extracellular region [GO:0005576]; host cell plasma membrane [GO:0020002]; membrane [GO:0016020]	carbohydrate binding [GO:0030246]; identical protein binding [GO:0042802]; toxin activity [GO:0090729]
hlyC lipA VC_A0221	GO:0004806; GO:0005576; GO:0016042; GO:0046872	lipid catabolic process [GO:0016042]	extracellular region [GO:0005576]	metal ion binding [GO:0046872]; triacylglycerol lipase activity [GO:0004806]
asd2 asd VC_2107	GO:0004073; GO:0009088; GO:0009089; GO:0009097; GO:0019877; GO:0046983; GO:0050661; GO:0051287; GO:0071266	'de novo' L-methionine biosynthetic process [GO:0071266]; diaminopimelate biosynthetic process [GO:0019877]; isoleucine biosynthetic process [GO:0009097]; lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088]		aspartate-semialdehyde dehydrogenase activity [GO:0004073]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; protein dimerization activity [GO:0046983]
epsE VC_2732	GO:0005524; GO:0005886; GO:0008564; GO:0015627; GO:0015628; GO:0016887; GO:0046872	protein secretion by the type II secretion system [GO:0015628]	plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]; protein-exporting ATPase activity [GO:0008564]
epsD VC_2733	GO:0009279; GO:0009306; GO:0015627; GO:0015628; GO:0042802	protein secretion [GO:0009306]; protein secretion by the type II secretion system [GO:0015628]	cell outer membrane [GO:0009279]; type II protein secretion system complex [GO:0015627]	identical protein binding [GO:0042802]
speG VC_A0947	GO:0000287; GO:0004145; GO:0005737; GO:0006598; GO:0046203; GO:0046208	polyamine catabolic process [GO:0006598]; spermidine catabolic process [GO:0046203]; spermine catabolic process [GO:0046208]	cytoplasm [GO:0005737]	diamine N-acetyltransferase activity [GO:0004145]; magnesium ion binding [GO:0000287]
VC_A0931	GO:0004112; GO:0009214; GO:0046872	cyclic nucleotide catabolic process [GO:0009214]		cyclic-nucleotide phosphodiesterase activity [GO:0004112]; metal ion binding [GO:0046872]
hutZ VC_A0907	GO:0016627; GO:0046872; GO:0070967			coenzyme F420 binding [GO:0070967]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]
VC_A0681	GO:0004112; GO:0009214; GO:0046872	cyclic nucleotide catabolic process [GO:0009214]		cyclic-nucleotide phosphodiesterase activity [GO:0004112]; metal ion binding [GO:0046872]
vxrA VC_A0565	GO:0000155; GO:0005886		plasma membrane [GO:0005886]	phosphorelay sensor kinase activity [GO:0000155]
shyA VC_A0079	GO:0004222; GO:0005886; GO:0042597; GO:0042834; GO:0046872		periplasmic space [GO:0042597]; plasma membrane [GO:0005886]	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; peptidoglycan binding [GO:0042834]
fadB VC_2758	GO:0004165; GO:0004300; GO:0006635; GO:0008692; GO:0016509; GO:0036125; GO:0070403	fatty acid beta-oxidation [GO:0006635]	fatty acid beta-oxidation multienzyme complex [GO:0036125]	3-hydroxybutyryl-CoA epimerase activity [GO:0008692]; delta(3)-delta(2)-enoyl-CoA isomerase activity [GO:0004165]; enoyl-CoA hydratase activity [GO:0004300]; long-chain-3-hydroxyacyl-CoA dehydrogenase activity [GO:0016509]; NAD+ binding [GO:0070403]
asd1 VC_2036	GO:0004073; GO:0009088; GO:0009089; GO:0009097; GO:0019877; GO:0046983; GO:0050661; GO:0051287; GO:0071266	'de novo' L-methionine biosynthetic process [GO:0071266]; diaminopimelate biosynthetic process [GO:0019877]; isoleucine biosynthetic process [GO:0009097]; lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088]		aspartate-semialdehyde dehydrogenase activity [GO:0004073]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; protein dimerization activity [GO:0046983]
fabV VC_1738/VC_1739	GO:0004318; GO:0006633; GO:0050343; GO:0051287	fatty acid biosynthetic process [GO:0006633]		enoyl-[acyl-carrier-protein] reductase (NADH) activity [GO:0004318]; NAD binding [GO:0051287]; trans-2-enoyl-CoA reductase (NADH) activity [GO:0050343]
rtxA rtx VC_1451	GO:0005524; GO:0005576; GO:0006508; GO:0007015; GO:0008234; GO:0008289; GO:0016020; GO:0016874; GO:0020002; GO:0044164; GO:0046872; GO:0090729; GO:0140772	actin filament organization [GO:0007015]; proteolysis [GO:0006508]	extracellular region [GO:0005576]; host cell cytosol [GO:0044164]; host cell plasma membrane [GO:0020002]; membrane [GO:0016020]	ATP binding [GO:0005524]; CoA-dependent peptidyl-lysine N6-palmitoyltransferase activity [GO:0140772]; cysteine-type peptidase activity [GO:0008234]; ligase activity [GO:0016874]; lipid binding [GO:0008289]; metal ion binding [GO:0046872]; toxin activity [GO:0090729]
vgrG1 vgrG-1 VC_1416	GO:0000287; GO:0005524; GO:0005576; GO:0016881; GO:0018153; GO:0018262; GO:0030042; GO:0030430; GO:0044164; GO:0090729	actin filament depolymerization [GO:0030042]; isopeptide cross-linking [GO:0018262]; isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine [GO:0018153]	extracellular region [GO:0005576]; host cell cytoplasm [GO:0030430]; host cell cytosol [GO:0044164]	acid-amino acid ligase activity [GO:0016881]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; toxin activity [GO:0090729]
bsrV VC_1312	GO:0005829; GO:0008784; GO:0018111; GO:0018113; GO:0030170; GO:0030378; GO:0030632; GO:0042597; GO:0047679; GO:0050157	D-alanine biosynthetic process [GO:0030632]	cytosol [GO:0005829]; periplasmic space [GO:0042597]	alanine racemase activity [GO:0008784]; arginine racemase activity [GO:0047679]; lysine racemase activity [GO:0018113]; methionine racemase activity [GO:0018111]; ornithine racemase activity [GO:0050157]; pyridoxal phosphate binding [GO:0030170]; serine racemase activity [GO:0030378]
shyB VC_0503	GO:0004222; GO:0005886; GO:0042597; GO:0042834; GO:0046872		periplasmic space [GO:0042597]; plasma membrane [GO:0005886]	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; peptidoglycan binding [GO:0042834]
cgtA obg VC_0437	GO:0000287; GO:0003924; GO:0005525; GO:0005737; GO:0042254	ribosome biogenesis [GO:0042254]	cytoplasm [GO:0005737]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; magnesium ion binding [GO:0000287]
cap3 VC_0181	GO:0006508; GO:0008237; GO:0046872; GO:0051607	defense response to virus [GO:0051607]; proteolysis [GO:0006508]		metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]
cap2 VC_0180	GO:0008641; GO:0016740; GO:0051607; GO:0061503; GO:0061504	cyclic threonylcarbamoyladenosine biosynthetic process [GO:0061504]; defense response to virus [GO:0051607]		transferase activity [GO:0016740]; tRNA threonylcarbamoyladenosine dehydratase [GO:0061503]; ubiquitin-like modifier activating enzyme activity [GO:0008641]
dncV VC_0179	GO:0005524; GO:0005525; GO:0009190; GO:0046872; GO:0050922; GO:0051607; GO:0052621; GO:0140701	cyclic nucleotide biosynthetic process [GO:0009190]; defense response to virus [GO:0051607]; negative regulation of chemotaxis [GO:0050922]		3',3'-cyclic GMP-AMP synthase activity [GO:0140701]; ATP binding [GO:0005524]; diguanylate cyclase activity [GO:0052621]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]
capV VC_0178	GO:0008970; GO:0016042; GO:0051607	defense response to virus [GO:0051607]; lipid catabolic process [GO:0016042]		phospholipase A1 activity [GO:0008970]
nagA VC_0994	GO:0006046; GO:0008448; GO:0019262; GO:0046872; GO:0051289	N-acetylglucosamine catabolic process [GO:0006046]; N-acetylneuraminate catabolic process [GO:0019262]; protein homotetramerization [GO:0051289]		metal ion binding [GO:0046872]; N-acetylglucosamine-6-phosphate deacetylase activity [GO:0008448]
nhaA VC_1627	GO:0005886; GO:0006885; GO:0015385	regulation of pH [GO:0006885]	plasma membrane [GO:0005886]	sodium:proton antiporter activity [GO:0015385]
nanH VC_1784	GO:0004308; GO:0005576; GO:0005737; GO:0006689; GO:0009313; GO:0016020; GO:0033691; GO:0043231	ganglioside catabolic process [GO:0006689]; oligosaccharide catabolic process [GO:0009313]	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]	exo-alpha-sialidase activity [GO:0004308]; sialic acid binding [GO:0033691]
epsM VC_2724	GO:0005886; GO:0015627; GO:0015628	protein secretion by the type II secretion system [GO:0015628]	plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]	
epsG VC_2730	GO:0005886; GO:0015627; GO:0015628	protein secretion by the type II secretion system [GO:0015628]	plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]	
hldD gmhD rfaD VC_0240	GO:0008712; GO:0009244; GO:0050661; GO:0097171	ADP-L-glycero-beta-D-manno-heptose biosynthetic process [GO:0097171]; lipopolysaccharide core region biosynthetic process [GO:0009244]		ADP-glyceromanno-heptose 6-epimerase activity [GO:0008712]; NADP binding [GO:0050661]
tcpA VC_0828	GO:0009289; GO:0015627; GO:0015628; GO:0016020; GO:0043230	protein secretion by the type II secretion system [GO:0015628]	extracellular organelle [GO:0043230]; membrane [GO:0016020]; pilus [GO:0009289]; type II protein secretion system complex [GO:0015627]	
ppnP VC_A0970	GO:0004731; GO:0004850; GO:0005829; GO:0009032; GO:0016154; GO:0047975		cytosol [GO:0005829]	guanosine phosphorylase activity [GO:0047975]; purine-nucleoside phosphorylase activity [GO:0004731]; pyrimidine-nucleoside phosphorylase activity [GO:0016154]; thymidine phosphorylase activity [GO:0009032]; uridine phosphorylase activity [GO:0004850]
napA VC_A0678	GO:0005506; GO:0006777; GO:0008940; GO:0009055; GO:0009325; GO:0016020; GO:0030151; GO:0042128; GO:0042597; GO:0043546; GO:0045333; GO:0050140; GO:0051539	cellular respiration [GO:0045333]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]; nitrate assimilation [GO:0042128]	membrane [GO:0016020]; nitrate reductase complex [GO:0009325]; periplasmic space [GO:0042597]	4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; iron ion binding [GO:0005506]; molybdenum ion binding [GO:0030151]; molybdopterin cofactor binding [GO:0043546]; nitrate reductase (cytochrome) activity [GO:0050140]; nitrate reductase activity [GO:0008940]
msrAB VC_A0615	GO:0005737; GO:0006979; GO:0008113; GO:0030091; GO:0033743; GO:0033744; GO:0036211	protein modification process [GO:0036211]; protein repair [GO:0030091]; response to oxidative stress [GO:0006979]	cytoplasm [GO:0005737]	L-methionine:thioredoxin-disulfide S-oxidoreductase activity [GO:0033744]; peptide-methionine (R)-S-oxide reductase activity [GO:0033743]; peptide-methionine (S)-S-oxide reductase activity [GO:0008113]
fruR cra VC_A0519	GO:0000976; GO:0003700; GO:0006355; GO:0009750	regulation of DNA-templated transcription [GO:0006355]; response to fructose [GO:0009750]		DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]
prtV VC_A0223	GO:0005576; GO:0006508; GO:0008237; GO:0031640; GO:0046872	killing of cells of another organism [GO:0031640]; proteolysis [GO:0006508]	extracellular region [GO:0005576]	metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]
VC_A0210	GO:0000160; GO:0004112; GO:0009214; GO:0046872	cyclic nucleotide catabolic process [GO:0009214]; phosphorelay signal transduction system [GO:0000160]		cyclic-nucleotide phosphodiesterase activity [GO:0004112]; metal ion binding [GO:0046872]
nnr VC_A0191	GO:0005524; GO:0046496; GO:0046872; GO:0052855; GO:0052856; GO:0110051	metabolite repair [GO:0110051]; nicotinamide nucleotide metabolic process [GO:0046496]		ADP-dependent NAD(P)H-hydrate dehydratase activity [GO:0052855]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; NAD(P)HX epimerase activity [GO:0052856]
