Gene,Gene_label,Model,Time,Space,Raw_fitness
N900_RS00365,mdtL_1,Observed,1h,st,0.38053000000000003
N900_RS00365,mdtL_1,Observed,1h,SI1,1.046
N900_RS00365,mdtL_1,Observed,1h,SI2,1.0636
N900_RS00365,mdtL_1,Observed,1h,SI3,1.4308
N900_RS00365,mdtL_1,Observed,1h,SI4,0.79255
N900_RS00365,mdtL_1,Observed,1h,SI5,0.68461
N900_RS00365,mdtL_1,Observed,1h,SI6,0.38200999999999996
N900_RS00365,mdtL_1,Observed,1h,SI7,0.2639
N900_RS00365,mdtL_1,Observed,1h,SI8,0.4910399999999999
N900_RS00365,mdtL_1,Observed,1h,SI9,0.94944
N900_RS00365,mdtL_1,Observed,1h,ce,1.8793
N900_RS00365,mdtL_1,Observed,1h,co,3.1319
N900_RS00365,mdtL_1,Observed,3h,st,0.46226999999999996
N900_RS00365,mdtL_1,Observed,3h,SI1,4.334
N900_RS00365,mdtL_1,Observed,3h,SI2,0.3930100000000001
N900_RS00365,mdtL_1,Observed,3h,SI3,0.36954
N900_RS00365,mdtL_1,Observed,3h,SI4,0.5051400000000001
N900_RS00365,mdtL_1,Observed,3h,SI5,0.3434900000000001
N900_RS00365,mdtL_1,Observed,3h,SI6,0.95688
N900_RS00365,mdtL_1,Observed,3h,SI7,3.1421
N900_RS00365,mdtL_1,Observed,3h,SI8,1.332
N900_RS00365,mdtL_1,Observed,3h,SI9,1.2672
N900_RS00365,mdtL_1,Observed,3h,ce,0.47985
N900_RS00365,mdtL_1,Observed,3h,co,0.48262000000000005
N900_RS00365,mdtL_1,Observed,6h,st,0.38830999999999993
N900_RS00365,mdtL_1,Observed,6h,SI1,2.623
N900_RS00365,mdtL_1,Observed,6h,SI2,3.2392
N900_RS00365,mdtL_1,Observed,6h,SI3,3.5084
N900_RS00365,mdtL_1,Observed,6h,SI4,3.7678000000000003
N900_RS00365,mdtL_1,Observed,6h,SI5,3.3166
N900_RS00365,mdtL_1,Observed,6h,SI6,1.2813
N900_RS00365,mdtL_1,Observed,6h,SI7,0.54318
N900_RS00365,mdtL_1,Observed,6h,SI8,0.94348
N900_RS00365,mdtL_1,Observed,6h,SI9,0.81329
N900_RS00365,mdtL_1,Observed,6h,ce,6.1683
N900_RS00365,mdtL_1,Observed,6h,co,0.65952
N900_RS00365,mdtL_1,Observed,12h,st,3.1114000000000006
N900_RS00365,mdtL_1,Observed,12h,SI1,4.928
N900_RS00365,mdtL_1,Observed,12h,SI2,1.5125
N900_RS00365,mdtL_1,Observed,12h,SI3,1.1226
N900_RS00365,mdtL_1,Observed,12h,SI4,1.3808
N900_RS00365,mdtL_1,Observed,12h,SI5,1.1239
N900_RS00365,mdtL_1,Observed,12h,SI6,0.5862799999999999
N900_RS00365,mdtL_1,Observed,12h,SI7,0.7398
N900_RS00365,mdtL_1,Observed,12h,SI8,1.113
N900_RS00365,mdtL_1,Observed,12h,SI9,0.6063
