Program,Time,mean_abs_value,max_abs_value
CPVAE1,12h,0.028451236,0.094696
CPVAE1,1h,0.0039524455,0.013155167
CPVAE1,24h,0.0038229476,0.012724151
CPVAE1,3h,0.041860312,0.13932624
CPVAE1,6h,0.05053467,0.16819765
CPVAE2,12h,0.005731882,0.022509122
CPVAE2,1h,0.0017814125,0.006995614
CPVAE2,24h,0.0011331668,0.0044499505
CPVAE2,3h,0.037855398,0.14865829
CPVAE2,6h,0.031890515,0.12523417
CPVAE3,12h,0.012418535,0.028703582
CPVAE3,1h,0.0109123485,0.025222259
CPVAE3,24h,0.013690422,0.031643357
CPVAE3,3h,0.065567635,0.15154974
CPVAE3,6h,0.038417652,0.088796645
CPVAE4,12h,0.006972628,0.032365486
CPVAE4,1h,0.017447444,0.080987394
CPVAE4,24h,0.0019817892,0.009199052
CPVAE4,3h,0.042109955,0.19546564
CPVAE4,6h,0.026873881,0.12474295
CPVAE5,12h,0.052071217,0.13064247
CPVAE5,1h,0.007172235,0.017994557
CPVAE5,24h,0.0084136445,0.021109153
CPVAE5,3h,0.005496833,0.013791109
CPVAE5,6h,0.03290632,0.082559295
CPVAE6,12h,0.0005864766,0.0019645023
CPVAE6,1h,0.037879445,0.12688358
CPVAE6,24h,0.006440453,0.021573385
CPVAE6,3h,0.036695134,0.122916535
CPVAE6,6h,0.042764317,0.14324628
