CPVAE1,CPVAE2,CPVAE3,CPVAE4,CPVAE5,CPVAE6,Gene,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range
2.7469618,-13.363985,4.54381,9.460077,8.614083,4.040372,N900_RS00015,mnmE,0.6908121666666667,-1.463,3.6738,6h_SI9,6h,SI9,3h_SI7,3h,SI7,5.1368
4.320734,1.4447675,0.3958935,11.4059725,8.34116,1.7921582,N900_RS00025,yidD,0.268908745,-3.1212,3.9865,6h_SI7,6h,SI7,1h_co,1h,co,7.1076999999999995
7.477795,3.053227,10.441371,1.5389422,-4.0242386,0.8357134,N900_RS00040,yxeO,0.1887202166666667,-1.3335,3.6232,12h_SI2,12h,SI2,6h_SI2,6h,SI2,4.9567
4.1428127,2.0960958,-2.2915258,13.101215,3.893961,-5.1531825,N900_RS00045,patM,1.7093390000000002,-0.21058,6.3068,1h_SI7,1h,SI7,3h_SI1,3h,SI1,6.51738
-3.9504652,-10.121041,6.461964,6.56867,13.764999,-1.5669898,N900_RS00050,patH,0.8948083666666666,-0.43105,3.6854,1h_st,1h,st,6h_SI4,6h,SI4,4.11645
1.6803358,-9.520212,9.070723,7.584832,3.3459713,-8.600774,N900_RS00065,recF,1.07110085,-0.72163,4.4447,6h_SI1,6h,SI1,6h_st,6h,st,5.16633
2.1730266,-9.882607,11.3231325,12.32908,7.77116,-0.33024985,N900_RS00075,N900_RS00075,1.432234166666667,0.21117,3.9921,1h_SI9,1h,SI9,3h_SI5,3h,SI5,3.78093
-1.9739945,-0.45311278,11.962918,3.256812,7.572949,2.615456,N900_RS00085,ibpA,0.22538154383333336,-2.1899,3.4285,6h_co,6h,co,3h_SI4,3h,SI4,5.6184
3.5843701,-5.7345996,7.6759696,4.207281,2.0767093,-7.3841395,N900_RS00090,avtA,0.7149570666666667,-0.89129,3.5684,12h_SI1,12h,SI1,6h_st,6h,st,4.45969
-2.8029444,-5.136273,10.487317,10.568354,11.957314,-1.0349319,N900_RS00105,mneA,1.4696406666666666,0.19162,4.2295,1h_SI9,1h,SI9,3h_SI1,3h,SI1,4.0378799999999995
5.0526814,8.0080185,2.4443238,7.949471,-1.2066612,2.4181397,N900_RS00110,NADH dehydrogenase subunit II-related protein,-0.02647887833333334,-1.1285,2.2889,6h_SI2,6h,SI2,6h_SI3,6h,SI3,3.4173999999999998
-7.0041304,-6.247379,10.3565,13.244629,4.4747357,-1.370659,N900_RS00120,N900_RS00120,0.6445359399999998,-0.96701,3.9194,3h_SI9,3h,SI9,3h_SI1,3h,SI1,4.88641
-3.076759,-10.129964,6.8534327,11.631459,9.294289,3.5088506,N900_RS00125,acuI,1.0485218166666668,-0.080152,3.9734,24h_SI8,24h,SI8,1h_ce,1h,ce,4.053552
0.94621927,-11.899787,8.048831,9.695598,11.641847,0.25612018,N900_RS00130,ilvA,1.6060143166666667,-0.054921,4.4043,1h_SI3,1h,SI3,12h_st,12h,st,4.459221
3.8723953,-5.3586283,9.154882,5.344828,14.04777,3.9553719,N900_RS00135,ilvD,1.2914153500000003,-0.34542,5.3665,3h_SI7,3h,SI7,12h_st,12h,st,5.71192
3.771849,-3.1690667,5.074308,4.059306,13.301589,0.29886824,N900_RS00140,ilvE,2.0222916816666663,-0.23122,6.337,1h_SI5,1h,SI5,12h_st,12h,st,6.56822
-0.0003605485,-8.724048,7.432721,10.4693775,9.764823,1.0160016,N900_RS00145,ilvM,1.66385,-0.11262,6.8711,1h_SI3,1h,SI3,1h_st,1h,st,6.98372
1.2202493,-10.056321,9.65014,12.446948,8.852839,-2.8037636,N900_RS00150,ilvG,1.4846871666666668,0.018497,5.1406,6h_SI8,6h,SI8,6h_SI2,6h,SI2,5.122103
0.11310373,-4.0380325,7.406941,-1.6272768,4.8363442,0.14471938,N900_RS00155,yifb,0.6229813333333334,-0.86017,3.8262,3h_SI3,3h,SI3,3h_SI2,3h,SI2,4.68637
1.9444643,-2.3864477,8.520996,9.943495,13.947189,-2.9815328,N900_RS00160,yihG,1.1543101833333336,-0.43317,4.2116,6h_SI6,6h,SI6,12h_SI1,12h,SI1,4.644769999999999
0.36775902,-6.1630397,8.950121,15.611402,5.939575,6.1358123,N900_RS00165,dsba,0.12588415,-3.4222,3.7881,6h_SI8,6h,SI8,1h_SI1,1h,SI1,7.2103
-4.2844543,-5.348182,14.901172,10.631272,12.053054,-1.999429,N900_RS00170,serine/threonine protein kinase,1.3087315166666664,-0.2317,3.81,1h_st,1h,st,3h_SI5,3h,SI5,4.0417
-1.0810848,-0.7384318,16.34524,4.6329527,11.301015,-0.2266781,N900_RS00175,ccoG,1.7052086000000002,-0.011665,5.0217,6h_SI1,6h,SI1,6h_SI4,6h,SI4,5.033365
-8.468776,-4.2437425,10.187752,5.5993695,6.565838,3.598758,N900_RS00180,yihD,0.6527487766666666,-2.3226,4.8509,6h_SI5,6h,SI5,3h_SI4,3h,SI4,7.173500000000001
13.521859,-5.4711833,-1.745353,8.911832,4.268861,-2.2270088,N900_RS00185,N900_RS00185,1.9537398333333336,-1.9606,9.2447,12h_SI8,12h,SI8,6h_st,6h,st,11.2053
0.020475015,-12.0166235,9.624525,8.265362,7.2593856,-8.285789,N900_RS00190,SpoOM-related protein,1.258719116666667,-0.37554,4.6742,3h_SI3,3h,SI3,6h_st,6h,st,5.04974
-5.8992834,-8.177977,11.466835,4.923272,7.1629004,6.511428,N900_RS00195,yqfA,1.2816228333333333,-1.3095,4.9413,12h_SI2,12h,SI2,3h_SI4,3h,SI4,6.2508
-6.217763,-9.47979,7.966687,7.2591257,10.178298,-3.5607607,N900_RS00200,N900_RS00200,1.1777025166666666,-0.17352,4.1804,1h_SI2,1h,SI2,6h_SI4,6h,SI4,4.35392
3.242426,-10.403465,8.195992,10.242623,7.397262,-6.902737,N900_RS00205,trkI,1.5978866,-0.43912,5.0215,1h_SI9,1h,SI9,3h_SI3,3h,SI3,5.46062
-0.19508785,0.6007747,15.585492,12.893292,6.028506,-1.3216953,N900_RS00215,rsmB,1.1058841166666666,-0.54292,4.617,24h_st,24h,st,3h_SI3,3h,SI3,5.15992
-7.606181,-2.4510257,4.99783,7.6455736,-1.1078733,-9.205394,N900_RS00225,def1,0.8774843333333333,-1.1415,4.8272,6h_co,6h,co,3h_SI1,3h,SI1,5.9687
-1.8238183,-6.4553566,10.776555,14.009215,3.0447438,-8.78333,N900_RS00230,N900_RS00230,1.1709372333333334,-0.13227,4.6166,6h_SI2,6h,SI2,3h_SI1,3h,SI1,4.74887
-5.125905,-15.567223,7.738696,5.654276,9.744212,-4.298054,N900_RS00235,dprA,1.3675271666666662,0.10879,3.8477,1h_SI8,1h,SI8,3h_st,3h,st,3.73891
-7.395482,5.429828,5.8062105,9.357491,6.6873837,-4.096048,N900_RS00240,smg,0.8821779666666667,-0.79253,4.6068,6h_SI2,6h,SI2,3h_SI1,3h,SI1,5.39933
-0.20367455,-12.359058,8.837897,11.54452,9.301121,-8.61284,N900_RS00245,topA_1,1.6392014999999998,-0.94353,6.1237,1h_SI8,1h,SI8,6h_st,6h,st,7.06723
11.796906,-3.9348605,5.6375933,13.277674,-3.3971906,2.5938902,N900_RS00250,purK,-0.47205640783333336,-2.8608,3.9392,24h_SI5,24h,SI5,6h_SI1,6h,SI1,6.8
5.2701397,-6.7962084,2.5651102,6.509372,0.6211737,15.692818,N900_RS00255,purE,-2.029291016666667,-5.0325,3.2053,12h_SI7,12h,SI7,1h_st,1h,st,8.2378
-9.360003,-11.61772,9.960857,10.466382,13.099125,3.7503822,N900_RS00260,tsaC,0.9043148500000001,-0.48726,4.666,6h_st,6h,st,3h_st,3h,st,5.15326
2.9723785,2.8514957,10.083168,11.355457,-5.1311436,-4.169313,N900_RS00265,hemF,-0.4489359333333333,-2.6648,2.7986,12h_SI4,12h,SI4,6h_SI4,6h,SI4,5.4634
3.1438265,-6.993591,14.103782,9.327581,2.2012498,4.938405,N900_RS00270,aroE,-0.4271091333333334,-2.1854,3.4301,24h_SI9,24h,SI9,1h_SI1,1h,SI1,5.6155
-0.97273695,-11.86317,9.5028715,11.305417,11.154861,0.5720853,N900_RS00275,N900_RS00275,1.4906737333333333,-0.011576,3.6762,1h_SI8,1h,SI8,3h_SI1,3h,SI1,3.687776
-3.333315,0.086569265,8.395624,7.9212174,14.351603,-1.0163425,N900_RS00280,yrdA,1.496199483333333,-0.36939,4.21,6h_SI4,6h,SI4,3h_SI3,3h,SI3,4.57939
-1.678416,-13.20119,7.788645,6.9948745,13.332607,3.1929018,N900_RS00320,crcB,1.7163328333333332,-0.22227,4.6735,1h_SI4,1h,SI4,6h_SI4,6h,SI4,4.89577
3.922651,-0.9270036,5.965004,8.378102,14.47781,2.3621328,N900_RS00325,thiC,1.7294315,0.21289,5.8496,1h_SI5,1h,SI5,12h_st,12h,st,5.63671
3.077553,5.5047736,4.0932693,2.1713085,2.861388,0.4540486,N900_RS00330,thiE,0.19236300500000006,-1.3637,3.305,3h_SI1,3h,SI1,12h_st,12h,st,4.6687
-4.13153,-8.701059,9.642448,9.887421,-1.2953604,-2.8036473,N900_RS00335,thiF,-0.08667852000000001,-1.9753,2.4508,12h_SI1,12h,SI1,3h_SI4,3h,SI4,4.4261
-10.053652,-5.7670546,9.670774,7.363436,15.284158,5.193195,N900_RS00340,thiS,1.7268275833333335,-0.037845,4.8625,3h_ce,3h,ce,3h_st,3h,st,4.900345
-2.197475,-8.842418,1.4142891,2.4565554,10.579451,3.2245805,N900_RS00345,thiG,1.2719991,-0.76005,4.8816,6h_SI5,6h,SI5,6h_SI2,6h,SI2,5.641649999999999
-0.4463892,-9.067378,14.282566,11.701504,10.851867,-6.916131,N900_RS00350,thiH,1.591140666666667,-0.12643,4.3913,1h_SI9,1h,SI9,6h_SI2,6h,SI2,4.51773
-9.775321,-9.836467,8.828491,6.0286126,12.422289,2.3824627,N900_RS00355,aminopeptidase P,1.48602565,-0.048651,4.2556,3h_ce,3h,ce,3h_st,3h,st,4.304251000000001
-6.2143025,-0.02961144,10.43803,3.0299866,8.078727,0.46232164,N900_RS00360,LysR family transcriptional regulator_1,1.0657311433333334,-1.2061,4.6525,6h_SI1,6h,SI1,1h_st,1h,st,5.8586
-5.361461,2.3301394,3.341418,1.1473591,15.429138,-11.225032,N900_RS00365,mdtL_1,1.440287,0.2639,6.1683,1h_SI7,1h,SI7,6h_ce,6h,ce,5.904400000000001
-13.894272,3.8776097,5.0022035,0.9705173,2.3814538,-12.272754,N900_RS00370,N900_RS00370,0.9191276733333333,-1.2497,5.2072,12h_SI3,12h,SI3,6h_ce,6h,ce,6.4569
-4.634327,2.1448746,9.09445,2.462501,5.413643,5.9784393,N900_RS00375,asnC,0.4175280066666666,-0.98202,5.0777,12h_SI4,12h,SI4,3h_SI3,3h,SI3,6.05972
-5.05208,-10.784782,11.964386,12.350752,9.410541,2.105447,N900_RS00380,N900_RS00380,1.3673203333333335,0.04101,4.5015,6h_st,6h,st,3h_SI2,3h,SI2,4.46049
-4.9907565,-13.449214,9.979206,10.627868,10.520209,-0.7592625,N900_RS00385,rsmJ,0.9234460949999999,-0.61044,3.6809,12h_st,12h,st,3h_SI4,3h,SI4,4.29134
-4.619604,2.0789113,10.982359,9.488257,8.52692,1.5196406,N900_RS00390,N900_RS00390,-0.039616166666666675,-1.9855,3.2288,6h_SI3,6h,SI3,1h_SI1,1h,SI1,5.2143
4.013871,-11.819552,1.7423348,2.9324455,4.9851117,-4.0399528,N900_RS00395,eamA_2,1.3076575333333333,-0.36745,4.8676,6h_SI4,6h,SI4,6h_st,6h,st,5.23505
-5.497574,1.7796249,0.82003653,-9.790833,9.95316,-6.8063927,N900_RS00400,uspA_1,0.6777416833333333,-1.0016,6.4547,1h_SI4,1h,SI4,6h_ce,6h,ce,7.4563
4.7421546,-6.8992014,4.9682083,2.829882,1.714963,-3.2357552,N900_RS00410,ftnA,0.5691082033333335,-0.83519,3.5502,24h_ce,24h,ce,6h_st,6h,st,4.38539
-0.964962,-14.249581,0.23673822,5.462119,10.44426,-0.08953047,N900_RS00415,uspB,1.58307705,-0.5983,5.368,1h_SI6,1h,SI6,3h_st,3h,st,5.9663
-5.472666,-0.011976808,7.492934,3.063851,3.5449615,-1.6631433,N900_RS00420,rdsA_BLAST,0.3981370333333334,-1.4084,3.71,6h_SI1,6h,SI1,1h_SI1,1h,SI1,5.1184
7.3791256,-6.342087,9.65355,10.152879,3.7063353,-4.801544,N900_RS00425,eamA_1,1.3472523999999997,-0.015277,4.29,3h_st,3h,st,6h_SI3,6h,SI3,4.305277
1.9230402,4.0870233,6.3756695,12.715792,12.177071,5.5203094,N900_RS00430,rmuC,0.5036677166666667,-1.0591,4.7668,24h_SI1,24h,SI1,3h_SI3,3h,SI3,5.8259
-2.280556,-6.5366817,13.264563,10.429777,7.908922,-1.4343458,N900_RS00440,ubiJ,1.5304535166666662,-0.060119,4.8463,6h_SI3,6h,SI3,3h_SI5,3h,SI5,4.9064190000000005
-0.2764183,-4.87214,11.219264,1.6188636,2.8686745,-0.39578775,N900_RS00450,tatA,1.3249814333333334,-0.60989,7.068,1h_SI4,1h,SI4,3h_SI5,3h,SI5,7.67789
-0.15086025,-7.609916,12.912633,8.583849,13.516174,-4.9561276,N900_RS00455,tatB,1.6623136333333333,-0.048393,5.0921,24h_SI7,24h,SI7,12h_SI1,12h,SI1,5.140493
-8.002359,-5.7051964,12.875397,12.903609,2.928383,-8.131253,N900_RS00460,tatC,1.4558110499999999,-0.33556,6.3457,1h_SI2,1h,SI2,3h_SI1,3h,SI1,6.68126
0.46649054,-4.7581916,16.469667,4.719582,12.915561,-0.6529769,N900_RS00465,ccp,0.8202505083333335,-0.66306,4.3113,6h_st,6h,st,12h_SI2,12h,SI2,4.97436
-0.7215866,-7.834564,5.503101,5.2619343,9.262925,-12.457589,N900_RS00470,dinF,0.811699605,-0.80583,3.963,3h_SI7,3h,SI7,6h_st,6h,st,4.76883
10.839786,-3.1213808,6.8376904,7.888179,4.38998,5.3484373,N900_RS00475,class I SAM-dependent methyltransferase_2,1.5607054466666666,-1.2064,5.891,12h_SI4,12h,SI4,6h_SI3,6h,SI3,7.0974
11.8011055,-3.1871226,8.216751,7.4339266,4.791479,3.576002,N900_RS00480,lexA,0.63223435,-2.1795,6.2653,1h_SI4,1h,SI4,6h_SI2,6h,SI2,8.4448
4.017309,-4.268534,0.4127146,5.186643,9.530267,3.098556,N900_RS00485,plsB,-0.34955572349999997,-2.5303,2.5991,12h_SI5,12h,SI5,12h_st,12h,st,5.1294
4.0940895,-15.360487,3.501237,10.94449,9.310255,5.341725,N900_RS00490,ubiA,1.662903361666667,-0.25003,3.8569,6h_SI9,6h,SI9,12h_st,12h,st,4.10693
-6.166878,-4.833573,15.350245,10.598239,7.322709,-5.2724047,N900_RS00495,chorismate lyase,1.5326033333333333,0.35757,5.65,1h_SI7,1h,SI7,3h_SI4,3h,SI4,5.29243
-6.881589,0.19805324,5.241702,-6.4003882,10.219052,1.3198432,N900_RS00505,fliL_2,0.62630315,-1.1791,4.6909,12h_SI1,12h,SI1,6h_ce,6h,ce,5.87
4.126033,4.459407,12.143489,0.66445637,9.867977,8.262902,N900_RS00510,methyl-accepting chemotaxis protein_4,0.5143753383333334,-0.88686,4.4865,6h_SI1,6h,SI1,3h_SI3,3h,SI3,5.37336
-5.677638,-12.853136,11.169783,8.131995,12.508255,0.13702437,N900_RS00515,glpG,1.3559726438333333,-0.029649,4.2055,3h_SI6,3h,SI6,3h_SI2,3h,SI2,4.235149
6.2341843,2.571341,9.206621,10.898792,7.2948546,4.867994,N900_RS00520,glpE,0.17198755000000002,-1.8139,3.3697,6h_ce,6h,ce,3h_SI3,3h,SI3,5.1836
3.5808318,7.714764,8.692251,0.47548872,0.70576286,7.645947,N900_RS00525,N900_RS00525,-0.5902245206666665,-2.5925,3.1908,24h_st,24h,st,1h_SI1,1h,SI1,5.7833
-1.3223855,-0.59142643,5.405467,0.88388085,-7.906938,4.8386235,N900_RS00530,tatd,-0.7705138500000001,-2.6296,2.9959,24h_st,24h,st,3h_SI5,3h,SI5,5.6255
2.9711053,-4.9844165,7.1137066,14.18007,0.6512656,-7.905397,N900_RS00540,ypeA_1,0.1845046133333334,-1.1433,3.5878,3h_SI3,3h,SI3,1h_SI1,1h,SI1,4.7311
3.5325077,1.8740517,11.421901,3.9349933,5.436904,0.15010534,N900_RS00555,cc4,1.3794895216666665,-0.6652,6.5821,1h_SI5,1h,SI5,6h_SI4,6h,SI4,7.247299999999999
-1.4771863,-15.775463,8.335341,9.268431,7.980283,-0.7552027,N900_RS00560,class I SAM-dependent methyltransferase_4,1.0447400999999998,-0.16738,3.3627,24h_SI9,24h,SI9,3h_SI2,3h,SI2,3.53008
-7.233923,-8.984627,10.775217,3.2501426,8.788383,2.2366047,N900_RS00565,yihI,1.6190095500000004,-0.56646,5.6083,1h_SI2,1h,SI2,1h_SI1,1h,SI1,6.17476
-1.1139909,-4.896096,-5.0826216,0.7272818,13.849505,14.263229,N900_RS00570,N900_RS00570,0.9985721499999999,-1.6564,6.8361,6h_SI5,6h,SI5,3h_st,3h,st,8.4925
-1.7013129,-7.1978364,6.079105,1.2806525,8.911582,-13.429087,N900_RS00575,hemN,2.4805226666666664,0.23374,6.1352,1h_SI1,1h,SI1,6h_ce,6h,ce,5.90146
4.5362787,2.599193,7.984787,-4.5205154,-2.162472,2.300813,N900_RS00580,hemy,-0.1706919166666667,-1.6451,2.7528,12h_SI1,12h,SI1,3h_SI6,3h,SI6,4.3979
2.1743658,-4.613264,2.2040997,0.97129714,4.7958474,-1.0168343,N900_RS00585,HemX,0.8413051166666666,-1.4146,4.5733,6h_SI1,6h,SI1,1h_st,1h,st,5.9879
-2.1709597,-2.2224355,8.324152,5.036664,-0.1413664,1.1570957,N900_RS00600,N900_RS00600,0.11754571833333329,-2.9929,4.2155,12h_SI5,12h,SI5,1h_SI1,1h,SI1,7.208399999999999
4.6760373,-13.5264635,2.8661268,10.123878,9.636579,5.4773574,N900_RS00605,class I adenylate cyclase,0.983545725,-0.84265,2.9777,6h_SI9,6h,SI9,12h_st,12h,st,3.82035
3.7505786,-14.3656845,4.5151086,9.610402,8.766142,4.677714,N900_RS00610,cyaY,-0.07653811666666667,-2.1613,2.7422,12h_ce,12h,ce,12h_SI3,12h,SI3,4.9035
1.1256808,-4.7763696,9.181769,4.4661455,9.119531,-0.9739522,N900_RS00615,lipoprotein,0.7600619500000002,-1.3587,4.3559,1h_SI1,1h,SI1,6h_SI4,6h,SI4,5.7146
8.722545,-3.2486243,-0.2752803,3.4607506,3.9210923,13.67714,N900_RS00620,lysA,-0.6041504833333333,-3.411,5.0984,6h_SI6,6h,SI6,1h_st,1h,st,8.5094
0.34216338,-11.816252,15.149323,12.603589,7.3647485,-5.8382125,N900_RS00630,N900_RS00630,0.6924454499999999,-0.96672,3.7161,3h_SI9,3h,SI9,3h_SI4,3h,SI4,4.6828199999999995
-3.4540322,3.3005059,10.579361,4.4907455,-2.7161183,-1.2167498,N900_RS00635,xerC,-0.7535026816666667,-2.9001,2.0488,6h_co,6h,co,1h_SI1,1h,SI1,4.9489
-5.2618246,4.195469,12.3292055,11.43697,13.727112,2.7408824,N900_RS00640,yigB,0.86147158,-0.89298,3.8617,6h_SI2,6h,SI2,12h_SI2,12h,SI2,4.75468
