Model,Program,Time,Space,Value
CPVAE,CPVAE1,1h,st,0.013155167
CPVAE,CPVAE1,1h,SI1,0.009378119
CPVAE,CPVAE1,1h,SI2,0.007249074
CPVAE,CPVAE1,1h,SI3,0.0050459495
CPVAE,CPVAE1,1h,SI4,0.0008293608
CPVAE,CPVAE1,1h,SI5,-0.00048137718
CPVAE,CPVAE1,1h,SI6,-0.00042193133
CPVAE,CPVAE1,1h,SI7,-0.00074051786
CPVAE,CPVAE1,1h,SI8,-0.0023213616
CPVAE,CPVAE1,1h,SI9,-0.0018795542
CPVAE,CPVAE1,1h,ce,-0.0053918865
CPVAE,CPVAE1,1h,co,-0.0005350466
CPVAE,CPVAE1,3h,st,-0.13932624
CPVAE,CPVAE1,3h,SI1,-0.09932357
CPVAE,CPVAE1,3h,SI2,-0.07677487
CPVAE,CPVAE1,3h,SI3,-0.053441603
CPVAE,CPVAE1,3h,SI4,-0.008783752
CPVAE,CPVAE1,3h,SI5,0.005098261
CPVAE,CPVAE1,3h,SI6,0.0044686706
CPVAE,CPVAE1,3h,SI7,0.007842817
CPVAE,CPVAE1,3h,SI8,0.024585519
CPVAE,CPVAE1,3h,SI9,0.01990634
CPVAE,CPVAE1,3h,ce,0.05710542
CPVAE,CPVAE1,3h,co,0.0056666736
CPVAE,CPVAE1,6h,st,0.16819765
CPVAE,CPVAE1,6h,SI1,0.119905554
CPVAE,CPVAE1,6h,SI2,0.09268428
CPVAE,CPVAE1,6h,SI3,0.06451585
CPVAE,CPVAE1,6h,SI4,0.0106039345
CPVAE,CPVAE1,6h,SI5,-0.0061547305
CPVAE,CPVAE1,6h,SI6,-0.0053946753
CPVAE,CPVAE1,6h,SI7,-0.009468018
CPVAE,CPVAE1,6h,SI8,-0.029680168
CPVAE,CPVAE1,6h,SI9,-0.024031363
CPVAE,CPVAE1,6h,ce,-0.06893889
CPVAE,CPVAE1,6h,co,-0.0068409303
CPVAE,CPVAE1,12h,st,0.094696
CPVAE,CPVAE1,12h,SI1,0.06750734
CPVAE,CPVAE1,12h,SI2,0.05218165
CPVAE,CPVAE1,12h,SI3,0.036322705
CPVAE,CPVAE1,12h,SI4,0.0059700613
CPVAE,CPVAE1,12h,SI5,-0.0034651398
CPVAE,CPVAE1,12h,SI6,-0.0030372255
CPVAE,CPVAE1,12h,SI7,-0.005330535
CPVAE,CPVAE1,12h,SI8,-0.016710062
CPVAE,CPVAE1,12h,SI9,-0.013529761
CPVAE,CPVAE1,12h,ce,-0.038812894
CPVAE,CPVAE1,12h,co,-0.0038514733
CPVAE,CPVAE1,24h,st,0.012724151
CPVAE,CPVAE1,24h,SI1,0.009070855
CPVAE,CPVAE1,24h,SI2,0.0070115654
CPVAE,CPVAE1,24h,SI3,0.004880624
CPVAE,CPVAE1,24h,SI4,0.00080218766
CPVAE,CPVAE1,24h,SI5,-0.00046560532
CPVAE,CPVAE1,24h,SI6,-0.00040810715
CPVAE,CPVAE1,24h,SI7,-0.00071625557
CPVAE,CPVAE1,24h,SI8,-0.0022453046
CPVAE,CPVAE1,24h,SI9,-0.0018179725
CPVAE,CPVAE1,24h,ce,-0.0052152267
CPVAE,CPVAE1,24h,co,-0.00051751634
CPVAE,CPVAE2,1h,st,0.006995614
CPVAE,CPVAE2,1h,SI1,-0.0004869654
CPVAE,CPVAE2,1h,SI2,0.0038026995
CPVAE,CPVAE2,1h,SI3,0.001909928
CPVAE,CPVAE2,1h,SI4,0.002231581
CPVAE,CPVAE2,1h,SI5,0.0009210012
CPVAE,CPVAE2,1h,SI6,-0.0003712614
CPVAE,CPVAE2,1h,SI7,-0.0008663221
CPVAE,CPVAE2,1h,SI8,-0.0007842909
CPVAE,CPVAE2,1h,SI9,-0.00073123723
CPVAE,CPVAE2,1h,ce,-0.0009251958
CPVAE,CPVAE2,1h,co,-0.0013508549
CPVAE,CPVAE2,3h,st,-0.14865829
CPVAE,CPVAE2,3h,SI1,0.010348118
CPVAE,CPVAE2,3h,SI2,-0.08080817
CPVAE,CPVAE2,3h,SI3,-0.04058638
CPVAE,CPVAE2,3h,SI4,-0.04742157
CPVAE,CPVAE2,3h,SI5,-0.01957147
CPVAE,CPVAE2,3h,SI6,0.0078893835
CPVAE,CPVAE2,3h,SI7,0.018409528
CPVAE,CPVAE2,3h,SI8,0.016666347
CPVAE,CPVAE2,3h,SI9,0.015538946
CPVAE,CPVAE2,3h,ce,0.019660607
CPVAE,CPVAE2,3h,co,0.028705953
CPVAE,CPVAE2,6h,st,-0.12523417
CPVAE,CPVAE2,6h,SI1,0.008717563
CPVAE,CPVAE2,6h,SI2,-0.06807521
CPVAE,CPVAE2,6h,SI3,-0.034191176
