CPVAE1,CPVAE2,CPVAE3,CPVAE4,CPVAE5,CPVAE6,Space
0.4759886,0.41861188,-0.21575706,-0.062017992,-0.033720836,0.45489243,st
0.33932507,-0.029139614,-0.1462313,0.5452942,-0.35048994,-0.034378253,SI1
0.2622906,0.22755045,0.12924215,-0.012569045,-0.2853372,0.082037136,SI2
0.18257575,0.114288546,0.14931275,0.07932512,-0.2166164,0.16149089,SI3
0.03000846,0.133536,0.2679435,-0.0066203917,-0.08412894,0.21911882,SI4
-0.017417494,0.055111963,0.32280782,-0.10050109,0.103819616,0.09447356,SI5
-0.015266587,-0.022215981,0.14544982,-0.1660758,0.13938496,0.051156983,SI6
-0.026793888,-0.05184001,0.14292526,-0.13855498,0.15292779,0.03915295,SI7
-0.08399298,-0.04693133,0.05707686,-0.106011346,0.11819576,0.061204135,SI8
-0.06800722,-0.04375664,-0.033742145,-0.049676083,0.109357946,0.09411831,SI9
-0.19509266,-0.055362966,0.0028641643,-0.13523902,0.004636639,0.22599846,ce
-0.019359397,-0.08083406,-0.06259142,-0.007814386,0.07775504,0.11160472,co
