Model,Rank,Program,Time,Space,Value
PCA,10,PC1,1h,st,0.0014188885755935694
PCA,10,PC1,1h,SI1,0.6352595715396835
PCA,10,PC1,1h,SI2,-0.14994791982123384
PCA,10,PC1,1h,SI3,-0.7051152524446802
PCA,10,PC1,1h,SI4,-0.8505379156377997
PCA,10,PC1,1h,SI5,-0.9249141140593282
PCA,10,PC1,1h,SI6,-0.9660468893425526
PCA,10,PC1,1h,SI7,-0.8938967439015617
PCA,10,PC1,1h,SI8,-0.8633925737000834
PCA,10,PC1,1h,SI9,-0.6954921881402194
PCA,10,PC1,1h,ce,0.037215783227186994
PCA,10,PC1,1h,co,0.14275499787152734
PCA,10,PC1,3h,st,0.3583928077866459
PCA,10,PC1,3h,SI1,1.4133697771847307
PCA,10,PC1,3h,SI2,1.3822606098079246
PCA,10,PC1,3h,SI3,1.3632421176407474
PCA,10,PC1,3h,SI4,1.1358973266459376
PCA,10,PC1,3h,SI5,1.1798689824679416
PCA,10,PC1,3h,SI6,0.12460912321336975
PCA,10,PC1,3h,SI7,0.24254119024914447
PCA,10,PC1,3h,SI8,0.09360495030625834
PCA,10,PC1,3h,SI9,-0.053029308086206844
PCA,10,PC1,3h,ce,-0.7237235816434522
PCA,10,PC1,3h,co,-0.810990899794297
PCA,10,PC1,6h,st,0.49993260855727684
PCA,10,PC1,6h,SI1,1.1169829077599474
PCA,10,PC1,6h,SI2,1.4033571210670315
PCA,10,PC1,6h,SI3,1.4016330241761226
PCA,10,PC1,6h,SI4,1.346742126233821
PCA,10,PC1,6h,SI5,0.4867973050942246
PCA,10,PC1,6h,SI6,-0.6253955239407365
PCA,10,PC1,6h,SI7,-0.7148684485051171
PCA,10,PC1,6h,SI8,-0.6393840059842055
PCA,10,PC1,6h,SI9,-0.6968989724321479
PCA,10,PC1,6h,ce,-0.2507666038030498
PCA,10,PC1,6h,co,-0.5137431824669247
PCA,10,PC1,12h,st,0.28449382937614376
PCA,10,PC1,12h,SI1,1.395599762428187
PCA,10,PC1,12h,SI2,1.3432675509484269
PCA,10,PC1,12h,SI3,1.113667575046009
PCA,10,PC1,12h,SI4,0.40323777910378744
PCA,10,PC1,12h,SI5,-0.4295880833868826
PCA,10,PC1,12h,SI6,-0.7272644914412737
PCA,10,PC1,12h,SI7,-0.8131624449004536
PCA,10,PC1,12h,SI8,-0.5837612241026043
PCA,10,PC1,12h,SI9,-0.6459003426072047
PCA,10,PC1,12h,ce,-0.4568201330949941
PCA,10,PC1,12h,co,-0.5374444264777755
PCA,10,PC1,24h,st,0.15852002670735368
PCA,10,PC1,24h,SI1,0.2625032942592638
PCA,10,PC1,24h,SI2,-0.03571434291651261
PCA,10,PC1,24h,SI3,-0.13688412817903967
PCA,10,PC1,24h,SI4,-0.33904517927561406
PCA,10,PC1,24h,SI5,-0.42418593362504725
PCA,10,PC1,24h,SI6,-0.5146821539828991
PCA,10,PC1,24h,SI7,-0.5646686136400146
PCA,10,PC1,24h,SI8,-0.5719128770057188
PCA,10,PC1,24h,SI9,-0.4858492281659724
PCA,10,PC1,24h,ce,-0.532043458564394
PCA,10,PC1,24h,co,-0.4500998522042895
CP,10,CP1,1h,st,0.015688429902928933
CP,10,CP1,1h,SI1,0.014823399097713956
CP,10,CP1,1h,SI2,0.011844373327486104
CP,10,CP1,1h,SI3,0.013110459108300918
CP,10,CP1,1h,SI4,0.0030304884662523657
CP,10,CP1,1h,SI5,-0.0046123482662561
CP,10,CP1,1h,SI6,-0.011464545172456491
CP,10,CP1,1h,SI7,-0.011201515529887402
CP,10,CP1,1h,SI8,-0.009162343556288262
CP,10,CP1,1h,SI9,-0.008480815826383407
CP,10,CP1,1h,ce,-0.006725962325384171
CP,10,CP1,1h,co,-0.005894985411248626
CP,10,CP1,3h,st,0.26462738879401254
CP,10,CP1,3h,SI1,0.2500363274432725
CP,10,CP1,3h,SI2,0.19978707907340904
CP,10,CP1,3h,SI3,0.22114300673725398
CP,10,CP1,3h,SI4,0.0511173045713782
CP,10,CP1,3h,SI5,-0.07779960680960642
CP,10,CP1,3h,SI6,-0.19338025994123004
CP,10,CP1,3h,SI7,-0.18894356054433975
CP,10,CP1,3h,SI8,-0.15454746367458672
CP,10,CP1,3h,SI9,-0.14305167316710182
CP,10,CP1,3h,ce,-0.11345136883079844
CP,10,CP1,3h,co,-0.09943471755999524
CP,10,CP1,6h,st,0.25767561478390716
CP,10,CP1,6h,SI1,0.2434678613044354
CP,10,CP1,6h,SI2,0.19453866306406503
CP,10,CP1,6h,SI3,0.2153335694988838
CP,10,CP1,6h,SI4,0.04977445056444637
CP,10,CP1,6h,SI5,-0.07575580746185094
CP,10,CP1,6h,SI6,-0.1883001513732794
CP,10,CP1,6h,SI7,-0.18398000427922712
CP,10,CP1,6h,SI8,-0.15048749449982757
CP,10,CP1,6h,SI9,-0.1392936989522739
CP,10,CP1,6h,ce,-0.11047099600981752
CP,10,CP1,6h,co,-0.09682256283033566
CP,10,CP1,12h,st,0.1876010990609545
CP,10,CP1,12h,SI1,0.1772571238649653
CP,10,CP1,12h,SI2,0.14163415126135798
CP,10,CP1,12h,SI3,0.15677391256672368
CP,10,CP1,12h,SI4,0.036238359764373264
CP,10,CP1,12h,SI5,-0.055154123730379784
CP,10,CP1,12h,SI6,-0.137092193922176
CP,10,CP1,12h,SI7,-0.1339469046652594
CP,10,CP1,12h,SI8,-0.10956263512468069
CP,10,CP1,12h,SI9,-0.10141297630211119
CP,10,CP1,12h,ce,-0.08042856629324481
CP,10,CP1,12h,co,-0.07049180503984465
CP,10,CP1,24h,st,0.06105463074488868
CP,10,CP1,24h,SI1,0.057688192119599975
CP,10,CP1,24h,SI2,0.04609472358857684
CP,10,CP1,24h,SI3,0.05102194704671084
CP,10,CP1,24h,SI4,0.011793745800472941
CP,10,CP1,24h,SI5,-0.017949866366838898
CP,10,CP1,24h,SI6,-0.044616547130171914
CP,10,CP1,24h,SI7,-0.04359291520515578
CP,10,CP1,24h,SI8,-0.03565707378292538
CP,10,CP1,24h,SI9,-0.033004773702598376
CP,10,CP1,24h,ce,-0.02617541390191617
CP,10,CP1,24h,co,-0.022941502735279864
VAE,10,VAE1,1h,st,-0.08662482351064682
VAE,10,VAE1,1h,SI1,0.006779134273529053
VAE,10,VAE1,1h,SI2,-0.023871976882219315
VAE,10,VAE1,1h,SI3,-0.02758079767227173
VAE,10,VAE1,1h,SI4,-0.01454395055770874
VAE,10,VAE1,1h,SI5,-0.030577242374420166
VAE,10,VAE1,1h,SI6,-0.03861874341964722
VAE,10,VAE1,1h,SI7,-0.013115882873535156
VAE,10,VAE1,1h,SI8,-0.052231013774871826
VAE,10,VAE1,1h,SI9,-0.04875496029853821
VAE,10,VAE1,1h,ce,-0.026213645935058594
VAE,10,VAE1,1h,co,-0.022338688373565674
VAE,10,VAE1,3h,st,-0.11379335820674896
VAE,10,VAE1,3h,SI1,0.09138208627700806
VAE,10,VAE1,3h,SI2,0.015218913555145264
VAE,10,VAE1,3h,SI3,-0.03593266010284424
VAE,10,VAE1,3h,SI4,0.03621256351470947
VAE,10,VAE1,3h,SI5,0.060935378074645996
VAE,10,VAE1,3h,SI6,0.038996368646621704
VAE,10,VAE1,3h,SI7,0.03374612331390381
VAE,10,VAE1,3h,SI8,-0.0002043992280960083
VAE,10,VAE1,3h,SI9,-0.040616460144519806
VAE,10,VAE1,3h,ce,-0.020700961351394653
VAE,10,VAE1,3h,co,-0.04226258397102356
VAE,10,VAE1,6h,st,-0.057794585824012756
VAE,10,VAE1,6h,SI1,0.01539313793182373
VAE,10,VAE1,6h,SI2,0.004089474678039551
VAE,10,VAE1,6h,SI3,-0.001545548439025879
VAE,10,VAE1,6h,SI4,0.07987868785858154
VAE,10,VAE1,6h,SI5,0.07458409667015076
VAE,10,VAE1,6h,SI6,0.029844313859939575
VAE,10,VAE1,6h,SI7,0.026934325695037842
VAE,10,VAE1,6h,SI8,0.006255418062210083
VAE,10,VAE1,6h,SI9,0.020595848560333252
VAE,10,VAE1,6h,ce,0.06679926812648773
VAE,10,VAE1,6h,co,0.027751252055168152
VAE,10,VAE1,12h,st,-0.08542428910732269
VAE,10,VAE1,12h,SI1,0.006571173667907715
VAE,10,VAE1,12h,SI2,0.03811770677566528
VAE,10,VAE1,12h,SI3,0.01186668872833252
VAE,10,VAE1,12h,SI4,0.04062171280384064
