PC,Feature,Time,Space,Loading,Abs_loading,Variance_explained
PC1,1h_st,1h,st,0.010364986115904272,0.010364986115904272,0.09929057890914819
PC1,1h_SI1,1h,SI1,-0.11451884582609609,0.11451884582609609,0.09929057890914819
PC1,1h_SI2,1h,SI2,-0.11779561350404491,0.11779561350404491,0.09929057890914819
PC1,1h_SI3,1h,SI3,-0.14421104861985282,0.14421104861985282,0.09929057890914819
PC1,1h_SI4,1h,SI4,-0.175132678307368,0.175132678307368,0.09929057890914819
PC1,1h_SI5,1h,SI5,-0.18796785581723016,0.18796785581723016,0.09929057890914819
PC1,1h_SI6,1h,SI6,-0.18611213821840317,0.18611213821840317,0.09929057890914819
PC1,1h_SI7,1h,SI7,-0.17912935459777973,0.17912935459777973,0.09929057890914819
PC1,1h_SI8,1h,SI8,-0.16820955372448396,0.16820955372448396,0.09929057890914819
PC1,1h_SI9,1h,SI9,-0.1684294281950076,0.1684294281950076,0.09929057890914819
PC1,1h_ce,1h,ce,-0.16695060108611026,0.16695060108611026,0.09929057890914819
PC1,1h_co,1h,co,-0.14142283022272345,0.14142283022272345,0.09929057890914819
PC1,3h_st,3h,st,0.10831267183573602,0.10831267183573602,0.09929057890914819
PC1,3h_SI1,3h,SI1,0.25207252263066837,0.25207252263066837,0.09929057890914819
PC1,3h_SI2,3h,SI2,0.23542652134047992,0.23542652134047992,0.09929057890914819
PC1,3h_SI3,3h,SI3,0.21703959409558168,0.21703959409558168,0.09929057890914819
PC1,3h_SI4,3h,SI4,0.1734057054916407,0.1734057054916407,0.09929057890914819
PC1,3h_SI5,3h,SI5,0.03448761710518767,0.03448761710518767,0.09929057890914819
PC1,3h_SI6,3h,SI6,-0.03866619177601882,0.03866619177601882,0.09929057890914819
PC1,3h_SI7,3h,SI7,-0.09100188790891668,0.09100188790891668,0.09929057890914819
PC1,3h_SI8,3h,SI8,-0.05011913641351693,0.05011913641351693,0.09929057890914819
PC1,3h_SI9,3h,SI9,-0.016401005725016696,0.016401005725016696,0.09929057890914819
PC1,3h_ce,3h,ce,-0.09890867102113686,0.09890867102113686,0.09929057890914819
PC1,3h_co,3h,co,-0.10859740291769146,0.10859740291769146,0.09929057890914819
PC1,6h_st,6h,st,0.153783119620352,0.153783119620352,0.09929057890914819
PC1,6h_SI1,6h,SI1,0.21527921943121167,0.21527921943121167,0.09929057890914819
PC1,6h_SI2,6h,SI2,0.24522379787851256,0.24522379787851256,0.09929057890914819
PC1,6h_SI3,6h,SI3,0.2079630210484461,0.2079630210484461,0.09929057890914819
PC1,6h_SI4,6h,SI4,0.21123677493226523,0.21123677493226523,0.09929057890914819
PC1,6h_SI5,6h,SI5,0.0063670987073107255,0.0063670987073107255,0.09929057890914819
PC1,6h_SI6,6h,SI6,-0.07918381026293937,0.07918381026293937,0.09929057890914819
PC1,6h_SI7,6h,SI7,-0.09741573368867805,0.09741573368867805,0.09929057890914819
PC1,6h_SI8,6h,SI8,-0.09923597086032834,0.09923597086032834,0.09929057890914819
PC1,6h_SI9,6h,SI9,-0.08794535559667363,0.08794535559667363,0.09929057890914819
PC1,6h_ce,6h,ce,-0.055345228430826135,0.055345228430826135,0.09929057890914819
PC1,6h_co,6h,co,-0.097589783092895,0.097589783092895,0.09929057890914819
PC1,12h_st,12h,st,0.0792524624570288,0.0792524624570288,0.09929057890914819
PC1,12h_SI1,12h,SI1,0.25239786567023065,0.25239786567023065,0.09929057890914819
PC1,12h_SI2,12h,SI2,0.22149665993390938,0.22149665993390938,0.09929057890914819
PC1,12h_SI3,12h,SI3,0.1555834213038582,0.1555834213038582,0.09929057890914819
PC1,12h_SI4,12h,SI4,0.11788687081435006,0.11788687081435006,0.09929057890914819
PC1,12h_SI5,12h,SI5,-0.027547635326520586,0.027547635326520586,0.09929057890914819
PC1,12h_SI6,12h,SI6,-0.06460067800168977,0.06460067800168977,0.09929057890914819
PC1,12h_SI7,12h,SI7,-0.08310642413212642,0.08310642413212642,0.09929057890914819
PC1,12h_SI8,12h,SI8,-0.06789590325563045,0.06789590325563045,0.09929057890914819
PC1,12h_SI9,12h,SI9,-0.055006492455162294,0.055006492455162294,0.09929057890914819
PC1,12h_ce,12h,ce,-0.06095818463963035,0.06095818463963035,0.09929057890914819
PC1,12h_co,12h,co,-0.0644566632861702,0.0644566632861702,0.09929057890914819
PC1,24h_st,24h,st,0.06685245505155092,0.06685245505155092,0.09929057890914819
PC1,24h_SI1,24h,SI1,0.10309829719674488,0.10309829719674488,0.09929057890914819
PC1,24h_SI2,24h,SI2,0.05545954505523777,0.05545954505523777,0.09929057890914819
PC1,24h_SI3,24h,SI3,0.04055003230961949,0.04055003230961949,0.09929057890914819
PC1,24h_SI4,24h,SI4,0.03164846962884069,0.03164846962884069,0.09929057890914819
PC1,24h_SI5,24h,SI5,0.009176848819207299,0.009176848819207299,0.09929057890914819
PC1,24h_SI6,24h,SI6,-0.012961392041389606,0.012961392041389606,0.09929057890914819
PC1,24h_SI7,24h,SI7,-0.01906927530241882,0.01906927530241882,0.09929057890914819
PC1,24h_SI8,24h,SI8,-0.01313421009401737,0.01313421009401737,0.09929057890914819
PC1,24h_SI9,24h,SI9,-0.01965254268721043,0.01965254268721043,0.09929057890914819
PC1,24h_ce,24h,ce,-0.03130127802626999,0.03130127802626999,0.09929057890914819
PC1,24h_co,24h,co,-0.014384773411900012,0.014384773411900012,0.09929057890914819
PC2,1h_st,1h,st,0.29781725458137953,0.29781725458137953,0.07146642099673074
PC2,1h_SI1,1h,SI1,-0.02520637746071941,0.02520637746071941,0.07146642099673074
PC2,1h_SI2,1h,SI2,0.05771351057838443,0.05771351057838443,0.07146642099673074
PC2,1h_SI3,1h,SI3,0.0817875043568918,0.0817875043568918,0.07146642099673074
PC2,1h_SI4,1h,SI4,0.054634697536240756,0.054634697536240756,0.07146642099673074
PC2,1h_SI5,1h,SI5,0.06889914848019871,0.06889914848019871,0.07146642099673074
PC2,1h_SI6,1h,SI6,0.08016071555969334,0.08016071555969334,0.07146642099673074
PC2,1h_SI7,1h,SI7,0.07915910504032855,0.07915910504032855,0.07146642099673074
PC2,1h_SI8,1h,SI8,0.116760506449701,0.116760506449701,0.07146642099673074
PC2,1h_SI9,1h,SI9,0.10952560729859481,0.10952560729859481,0.07146642099673074
PC2,1h_ce,1h,ce,0.12204768043122742,0.12204768043122742,0.07146642099673074
PC2,1h_co,1h,co,0.11912471264447502,0.11912471264447502,0.07146642099673074
PC2,3h_st,3h,st,0.3735611081582232,0.3735611081582232,0.07146642099673074
PC2,3h_SI1,3h,SI1,0.018611168203418352,0.018611168203418352,0.07146642099673074
PC2,3h_SI2,3h,SI2,0.04251945105262646,0.04251945105262646,0.07146642099673074
PC2,3h_SI3,3h,SI3,0.04256221221189907,0.04256221221189907,0.07146642099673074
PC2,3h_SI4,3h,SI4,-0.016545891425556694,0.016545891425556694,0.07146642099673074
PC2,3h_SI5,3h,SI5,-0.2123350173254606,0.2123350173254606,0.07146642099673074
PC2,3h_SI6,3h,SI6,-0.17373816584398236,0.17373816584398236,0.07146642099673074
PC2,3h_SI7,3h,SI7,-0.17651623641628394,0.17651623641628394,0.07146642099673074
PC2,3h_SI8,3h,SI8,0.0033846343294891114,0.0033846343294891114,0.07146642099673074
PC2,3h_SI9,3h,SI9,0.10706613892700761,0.10706613892700761,0.07146642099673074
PC2,3h_ce,3h,ce,0.10697839618734022,0.10697839618734022,0.07146642099673074
PC2,3h_co,3h,co,0.12204491279279867,0.12204491279279867,0.07146642099673074
PC2,6h_st,6h,st,0.33791644819278216,0.33791644819278216,0.07146642099673074
PC2,6h_SI1,6h,SI1,0.05786549156512136,0.05786549156512136,0.07146642099673074
PC2,6h_SI2,6h,SI2,-0.01781987179298022,0.01781987179298022,0.07146642099673074
PC2,6h_SI3,6h,SI3,0.005014835081284595,0.005014835081284595,0.07146642099673074
PC2,6h_SI4,6h,SI4,-0.25989133447603124,0.25989133447603124,0.07146642099673074
PC2,6h_SI5,6h,SI5,-0.2754877757863172,0.2754877757863172,0.07146642099673074
PC2,6h_SI6,6h,SI6,-0.14743345602614297,0.14743345602614297,0.07146642099673074
PC2,6h_SI7,6h,SI7,-0.1260357485041734,0.1260357485041734,0.07146642099673074
PC2,6h_SI8,6h,SI8,-0.0970364074318228,0.0970364074318228,0.07146642099673074
PC2,6h_SI9,6h,SI9,-0.06838708550066627,0.06838708550066627,0.07146642099673074
PC2,6h_ce,6h,ce,-0.19535339273149888,0.19535339273149888,0.07146642099673074
PC2,6h_co,6h,co,-0.043029117288089704,0.043029117288089704,0.07146642099673074
PC2,12h_st,12h,st,0.2949824827088844,0.2949824827088844,0.07146642099673074
PC2,12h_SI1,12h,SI1,0.006526831118829382,0.006526831118829382,0.07146642099673074
PC2,12h_SI2,12h,SI2,-0.056071039109399,0.056071039109399,0.07146642099673074
PC2,12h_SI3,12h,SI3,-0.024902253682872952,0.024902253682872952,0.07146642099673074
PC2,12h_SI4,12h,SI4,-0.12971261640006976,0.12971261640006976,0.07146642099673074
PC2,12h_SI5,12h,SI5,-0.11024830404111526,0.11024830404111526,0.07146642099673074
PC2,12h_SI6,12h,SI6,-0.1004333692091024,0.1004333692091024,0.07146642099673074
PC2,12h_SI7,12h,SI7,-0.07328666123595673,0.07328666123595673,0.07146642099673074
PC2,12h_SI8,12h,SI8,-0.14783569585470735,0.14783569585470735,0.07146642099673074
PC2,12h_SI9,12h,SI9,-0.1123199083711874,0.1123199083711874,0.07146642099673074
