PC,Time,mean_loading,mean_abs_loading
PC1,1h,-0.144959580166933,0.14668707785291704
PC1,3h,0.051420861394749745,0.11870324402179933
PC1,6h,0.043594762473813144,0.12971407612920324
PC1,12h,0.033587108256870585,0.10418243843969226
PC1,24h,0.016356848041499568,0.03477409330203394
PC2,1h,0.09686867212469967,0.10106973503481957
PC2,3h,0.019799392570959924,0.11632194440617387
PC2,6h,-0.06913978455821122,0.13593924703140922
PC2,12h,-0.047193451942992494,0.09744500424761145
PC2,24h,-0.0003348281944560415,0.013345083942771799
PC3,1h,-0.010394183179893424,0.038121435786907576
PC3,3h,0.0955266252467305,0.15997385343009965
PC3,6h,-0.012694280997566289,0.07602999649799559
PC3,12h,-0.08002627761543026,0.0908858497547112
PC3,24h,0.007588116546159553,0.021153100386080235
PC4,1h,0.11525127706230896,0.12510628157395914
PC4,3h,0.08988678307509977,0.13706146964081986
PC4,6h,-0.053512741837564014,0.05928615940659357
PC4,12h,-0.035548887877817785,0.050467244080603
PC4,24h,-0.11607643042202696,0.11607643042202696
PC5,1h,0.020325328162037477,0.024381485420264346
PC5,3h,-0.048158866280404805,0.14352258534845222
PC5,6h,0.07633099338921855,0.08039171511075839
PC5,12h,-0.06495750700000612,0.06495750700000612
PC5,24h,0.016460051729154972,0.016460051729154972
PC6,1h,-0.060811730118646955,0.06510367128630386
PC6,3h,0.021423757917346967,0.13538087447462305
PC6,6h,-0.08577019278455944,0.1112883568159317
PC6,12h,0.08429367010692888,0.08429367010692888
PC6,24h,0.04086449487893037,0.04086449487893037
