Gene,PC,PC_score,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range,Abs_PC_score,Direction
N900_RS03450,PC1,4.0336201516516885,cheR,3.139775,-0.88371,6.9658,1h_SI6,1h,SI6,3h_st,3h,st,7.8495099999999995,4.0336201516516885,Positive
N900_RS04840,PC1,3.9879764181391435,motV,2.7984921883333334,-1.4682,6.4085,1h_SI6,1h,SI6,12h_SI1,12h,SI1,7.8767,3.9879764181391435,Positive
N900_RS14650,PC1,3.7351872591994857,Nicotinamide riboside transporter PnuC_BLAST,1.5683465833333334,-2.2388,5.8015,1h_SI5,1h,SI5,3h_st,3h,st,8.0403,3.7351872591994857,Positive
N900_RS04100,PC1,3.725705108772308,cheA2,2.0485832166666667,-1.0892,6.0597,1h_SI5,1h,SI5,12h_SI1,12h,SI1,7.1489,3.725705108772308,Positive
N900_RS04120,PC1,3.721898091453247,cheW1,1.7180695333333336,-1.5562,5.2856,1h_SI5,1h,SI5,6h_SI1,6h,SI1,6.841799999999999,3.721898091453247,Positive
N900_RS08775,PC1,3.570903174739679,oppA,2.95284145,-0.10759,7.5892,1h_SI6,1h,SI6,12h_st,12h,st,7.69679,3.570903174739679,Positive
N900_RS14365,PC1,3.560556045897041,molybdopterin-dependent oxidoreductase,1.2177329350000001,-0.37293,4.0644,1h_SI7,1h,SI7,3h_SI4,3h,SI4,4.43733,3.560556045897041,Positive
N900_RS17910,PC1,3.534569937909798,N900_RS17910,1.0309760833333332,-1.0913,3.6959,1h_SI6,1h,SI6,3h_SI1,3h,SI1,4.7872,3.534569937909798,Positive
N900_RS05270,PC1,3.53286277690876,acoR,1.0387383,-0.43867,3.705,1h_SI5,1h,SI5,3h_SI3,3h,SI3,4.14367,3.53286277690876,Positive
N900_RS18450,PC1,3.502026795662017,N900_RS18450,1.5210640666666668,-1.2297,6.4454,1h_SI9,1h,SI9,6h_SI3,6h,SI3,7.6751000000000005,3.502026795662017,Positive
N900_RS03935,PC1,3.4689877119416748,N900_RS03935,1.293772916666667,-1.1482,4.7259,1h_ce,1h,ce,3h_SI2,3h,SI2,5.8741,3.4689877119416748,Positive
