PC,variance_explained,cumulative_variance
PC1,0.09929057890914819,0.09929057890914819
PC2,0.07146642099673074,0.17075699990587895
PC3,0.05059392473547443,0.22135092464135336
PC4,0.047290408672321885,0.26864133331367523
PC5,0.04447730815989208,0.3131186414735673
PC6,0.04286862854019998,0.3559872700137673
PC7,0.04150283081504616,0.3974901008288134
PC8,0.039480708429784024,0.43697080925859744
PC9,0.03717386373286414,0.47414467299146157
PC10,0.036334401981214154,0.5104790749726758
PC11,0.03323884362334222,0.5437179185960179
PC12,0.0319017787548878,0.5756196973509057
PC13,0.030790808710432545,0.6064105060613382
PC14,0.030046649085319146,0.6364571551466573
PC15,0.028399073149169042,0.6648562282958264
PC16,0.027327918642623055,0.6921841469384494
PC17,0.024895293328784984,0.7170794402672345
PC18,0.02253305416412884,0.7396124944313633
PC19,0.021453218205378388,0.7610657126367417
PC20,0.019246390661907673,0.7803121032986494
PC21,0.018403706283101222,0.7987158095817506
PC22,0.016800926990964585,0.8155167365727152
PC23,0.01581861264378471,0.8313353492164999
PC24,0.015120256467191538,0.8464556056836914
PC25,0.013567581274892616,0.860023186958584
PC26,0.013243000504451916,0.873266187463036
PC27,0.011560705272148222,0.8848268927351842
PC28,0.011039717569620685,0.8958666103048049
PC29,0.00982288213473053,0.9056894924395353
PC30,0.008945421537358047,0.9146349139768933
PC31,0.008397030460891606,0.9230319444377849
PC32,0.00770642329424324,0.9307383677320281
PC33,0.006492158601054475,0.9372305263330826
PC34,0.00538345055455863,0.9426139768876411
PC35,0.005160596730618101,0.9477745736182592
PC36,0.004849150694106855,0.9526237243123661
PC37,0.00453307778263149,0.9571568020949975
PC38,0.003960097823569518,0.9611168999185671
PC39,0.0038797656523568065,0.9649966655709239
PC40,0.0038099247801667313,0.9688065903510906
PC41,0.003540134896186569,0.9723467252472772
PC42,0.0033866300324771293,0.9757333552797542
PC43,0.002940964629590281,0.9786743199093445
PC44,0.002703817698510955,0.9813781376078554
PC45,0.0026042619621151762,0.9839823995699706
PC46,0.002368033798370326,0.9863504333683409
PC47,0.0020399199386195153,0.9883903533069605
PC48,0.0018641961460700378,0.9902545494530305
PC49,0.0016851460437459864,0.9919396954967765
PC50,0.0015516367684025839,0.993491332265179
PC51,0.0013725848594991733,0.9948639171246783
PC52,0.0012218431489467447,0.996085760273625
PC53,0.000979458817348535,0.9970652190909736
PC54,0.0009209755677026941,0.9979861946586762
PC55,0.0006135326995520662,0.9985997273582283
PC56,0.0004343579172142612,0.9990340852754426
PC57,0.000415956823969016,0.9994500420994116
PC58,0.0003162013763793092,0.9997662434757909
PC59,0.00023375652420868235,0.9999999999999996
PC60,2.1104007577061557e-17,0.9999999999999996
