Gene,Component,Gene_loading,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range,abs_loading,abs_rank
N900_RS00050,TensorComp1,6.9854732300049935,patH,0.8948083666666666,-0.43105,3.6854,1h_st,1h,st,6h_SI4,6h,SI4,4.11645,6.9854732300049935,1.0
N900_RS06220,TensorComp1,6.796394805469414,ynfM,0.8763427666666668,-0.55502,3.4905,1h_st,1h,st,6h_SI4,6h,SI4,4.04552,6.796394805469414,2.0
N900_RS07515,TensorComp1,6.7559738779662055,diguanylate cyclase_1,0.9015788783333333,-0.54242,3.3394,6h_st,6h,st,12h_SI2,12h,SI2,3.88182,6.7559738779662055,3.0
N900_RS07385,TensorComp1,6.750658275959899,N900_RS07385,0.8699623183333335,-0.49244,3.4955,1h_SI6,1h,SI6,6h_SI3,6h,SI3,3.98794,6.750658275959899,4.0
N900_RS17515,TensorComp1,6.722471882807543,"resolvase, putative",1.0423008999999999,-0.41253,4.9603,6h_SI7,6h,SI7,3h_SI2,3h,SI2,5.37283,6.722471882807543,5.0
N900_RS04100,TensorComp1,6.708963990645823,cheA2,2.0485832166666667,-1.0892,6.0597,1h_SI5,1h,SI5,12h_SI1,12h,SI1,7.1489,6.708963990645823,6.0
N900_RS07365,TensorComp1,6.682718855469638,yegD,1.1373953833333335,-0.34514,3.4958,1h_SI6,1h,SI6,3h_SI2,3h,SI2,3.84094,6.682718855469638,7.0
N900_RS05575,TensorComp1,6.669416534504826,pqiB,0.5611877716666667,-1.1285,4.0344,12h_SI7,12h,SI7,6h_SI4,6h,SI4,5.1629,6.669416534504826,8.0
N900_RS13640,TensorComp1,6.63628560471869,fhuB,1.4736744166666667,0.010116,4.3813,1h_SI8,1h,SI8,12h_SI1,12h,SI1,4.371184,6.63628560471869,9.0
N900_RS04640,TensorComp1,6.616717755528871,chitinase_2,1.1515031966666667,-0.19687,4.4924,6h_SI9,6h,SI9,6h_SI2,6h,SI2,4.68927,6.616717755528871,10.0
N900_RS09520,TensorComp1,6.614497821252967,vpsO,1.0523468666666667,-0.83125,4.4351,6h_SI7,6h,SI7,3h_st,3h,st,5.26635,6.614497821252967,11.0
N900_RS14840,TensorComp1,6.603340018524918,methyl-accepting chemotaxis protein_20,1.6516783833333337,-0.30857,5.037,1h_SI6,1h,SI6,6h_SI1,6h,SI1,5.34557,6.603340018524918,12.0
N900_RS07585,TensorComp1,6.5956651871020355,acnD,0.5594032243333333,-0.82837,3.2134,6h_SI7,6h,SI7,6h_SI2,6h,SI2,4.04177,6.5956651871020355,13.0
N900_RS16725,TensorComp1,6.584605007761913,GNAT family acetyltransferase,1.179908833333333,-0.16635,4.7237,6h_co,6h,co,3h_SI1,3h,SI1,4.8900500000000005,6.584605007761913,14.0
N900_RS12225,TensorComp1,6.580751261001053,rsmE,1.0057010160000002,-0.35504,3.3369,12h_SI7,12h,SI7,12h_SI2,12h,SI2,3.6919399999999998,6.580751261001053,15.0
N900_RS07270,TensorComp1,6.568453941710208,rhlE_1,0.62821655,-0.8934,3.5773,6h_ce,6h,ce,3h_SI2,3h,SI2,4.4707,6.568453941710208,16.0
N900_RS12580,TensorComp1,6.56453826419528,MSHA biogenesis protein MshN,1.1088379333333331,-0.40777,3.6304,3h_SI4,3h,SI4,12h_SI2,12h,SI2,4.03817,6.56453826419528,17.0
N900_RS01360,TensorComp1,6.542430120260881,pilus assembly protein PilN,1.1552278166666663,-0.41744,3.5303,1h_st,1h,st,6h_SI2,6h,SI2,3.94774,6.542430120260881,18.0
N900_RS03270,TensorComp1,6.508602130483236,glnB,1.2820225333333333,-0.37078,4.1463,3h_SI6,3h,SI6,3h_st,3h,st,4.51708,6.508602130483236,19.0
N900_RS14265,TensorComp1,6.500887273821135,deoD_2,1.0826106466666665,-0.30296,3.7815,12h_SI7,12h,SI7,3h_st,3h,st,4.08446,6.500887273821135,20.0
N900_RS07880,TensorComp1,6.49308216981502,DNA-binding response regulator_1,0.7648298166666668,-0.91705,3.3324,1h_st,1h,st,3h_SI2,3h,SI2,4.2494499999999995,6.49308216981502,21.0
N900_RS02975,TensorComp1,6.48914122988549,"lipoprotein, putative",1.38081945,-0.25722,4.7706,1h_SI8,1h,SI8,3h_SI1,3h,SI1,5.02782,6.48914122988549,22.0
N900_RS11850,TensorComp1,6.487499896562654,qorA,0.8281166333333333,-0.76929,3.9372,6h_SI9,6h,SI9,1h_SI1,1h,SI1,4.70649,6.487499896562654,23.0
N900_RS06575,TensorComp1,6.485299918753873,tolQ_3,1.0613484833333333,-0.39571,4.9052,1h_st,1h,st,12h_SI1,12h,SI1,5.30091,6.485299918753873,24.0
N900_RS16735,TensorComp1,6.484270029255725,glpm,0.6334879999999999,-0.9542,4.6787,1h_SI3,1h,SI3,6h_SI2,6h,SI2,5.6329,6.484270029255725,25.0
N900_RS03915,TensorComp1,6.47851414922895,gltC,1.3515615,-0.22479,3.753,3h_st,3h,st,6h_st,6h,st,3.97779,6.47851414922895,26.0
N900_RS13490,TensorComp1,6.477792383723726,wavI,1.2794988166666668,-0.12819,4.0571,6h_ce,6h,ce,6h_SI3,6h,SI3,4.18529,6.477792383723726,27.0
N900_RS10825,TensorComp1,6.475519295909066,vpsR,1.4516895,0.13202,4.0584,1h_SI7,1h,SI7,3h_SI1,3h,SI1,3.92638,6.475519295909066,28.0
N900_RS04450,TensorComp1,6.446762681743956,fadH,1.1646299833333333,-0.26653,3.811,24h_SI7,24h,SI7,6h_st,6h,st,4.07753,6.446762681743956,29.0
