Set,GO_ID,GO_term,Ontology,Overlap,Term_size,Input_size,Fold_enrichment,P_value,Genes,FDR_BH,minus_log10_FDR,log10_Fold_enrichment
CPVAE_top100_advantage_genes,GO:0009424,bacterial-type flagellum hook,CC,3,5,69,24.49565217391304,0.00013587107016972767,N900_RS03500/N900_RS03740/N900_RS03800,0.003668518894582647,2.435509239764388,1.3890890066321617
CPVAE_top100_advantage_genes,GO:0071973,bacterial-type flagellum-dependent cell motility,BP,4,18,69,9.072463768115943,0.0007787655511131393,N900_RS03440/N900_RS03740/N900_RS03800/N900_RS03815,0.010513334940027382,1.978259499355982,0.9577252424731745
CPVAE_top100_advantage_genes,GO:0044780,bacterial-type flagellum assembly,BP,3,13,69,9.421404682274247,0.0033740427407544286,N900_RS03440/N900_RS03500/N900_RS03800,0.030366384666789856,1.51760691083862,0.9741156586613436
CPVAE_top100_advantage_genes,GO:0046677,response to antibiotic,BP,2,12,69,6.804347826086956,0.03331024170723989,N900_RS06605/N900_RS11630,0.22484413152386926,0.6481184431196575,0.8327865058648743
CPVAE_top100_advantage_genes,GO:0042910,xenobiotic transmembrane transporter activity,MF,2,15,69,5.443478260869565,0.05055902816256908,N900_RS05560/N900_RS06605,0.273018752077873,0.5638075227604946,0.735876492856818
CPVAE_top100_advantage_genes,GO:0005576,extracellular region,CC,3,39,69,3.140468227424749,0.06867172013233547,N900_RS03500/N900_RS03740/N900_RS07865,0.3090227405955096,0.5100095602135127,0.49699440394168126
CPVAE_top100_advantage_genes,GO:0016887,ATP hydrolysis activity,MF,6,126,69,1.9440993788819876,0.08562491697686382,N900_RS01480/N900_RS02595/N900_RS07075/N900_RS11035/N900_RS14835/N900_RS19305,0.33026753691076044,0.4811341124526841,0.2887184615145988
CPVAE_top100_advantage_genes,GO:0004888,transmembrane signaling receptor activity,MF,2,22,69,3.7114624505928853,0.09977493905384308,N900_RS00510/N900_RS07280,0.3367404193067204,0.4727047516596589,0.569545071090293
CPVAE_top100_advantage_genes,GO:0045893,positive regulation of DNA-templated transcription,BP,2,25,69,3.266086956521739,0.12373764098451041,N900_RS10060/N900_RS18030,0.37121292295353125,0.4303769131920863,0.5140277432404616
CPVAE_top100_advantage_genes,GO:0003723,RNA binding,MF,3,52,69,2.3553511705685617,0.13319897371370099,N900_RS10445/N900_RS11170/N900_RS12875,0.35963722902699263,0.44413535719437003,0.3720556673333813
