Program,GO_ID,GO_term,Ontology,Overlap,Term_size,Input_size,Fold_enrichment,P_value,Genes,FDR_BH,minus_log10_FDR,log10_Fold_enrichment
Program7,GO:0008270,zinc ion binding,MF,6,74,68,3.358903020667727,0.008069819956846429,N900_RS01305/N900_RS02795/N900_RS06830/N900_RS11605/N900_RS11695/N900_RS15140,0.20174549892116073,0.6951961459020939,0.5261974649322045
Program7,GO:0070475,rRNA base methylation,BP,2,13,68,6.373303167420814,0.03772770453233394,N900_RS00215/N900_RS18140,0.4715963066541743,0.3264296047771028,0.8043645776366815
Program7,GO:0016887,ATP hydrolysis activity,MF,6,126,68,1.9726890756302524,0.08101118659832657,N900_RS01750/N900_RS04610/N900_RS06805/N900_RS07490/N900_RS14620/N900_RS14955,0.6750932216527215,0.17063625257050163,0.29505863954561784
Program7,GO:0005524,ATP binding,MF,12,355,68,1.4003314001657001,0.1400108803500128,N900_RS00250/N900_RS01750/N900_RS02795/N900_RS04610/N900_RS04735/N900_RS06350/N900_RS06805/N900_RS07080/N900_RS07360/N900_RS07490/N900_RS14620/N900_RS14955,0.87506800218758,0.057958196317939505,0.1462308272720678
Program7,GO:0016491,oxidoreductase activity,MF,2,31,68,2.672675521821632,0.17109187913118515,N900_RS01715/N900_RS15400,0.8554593956559258,0.06780059940291647,0.4269462361092456
Program7,GO:0030170,pyridoxal phosphate binding,MF,2,37,68,2.239268680445151,0.2241842083935066,N900_RS00090/N900_RS08565,0.9341008683062775,0.029606224215818298,0.3501062058765232
Program7,GO:0005525,GTP binding,MF,2,37,68,2.239268680445151,0.2241842083935066,N900_RS04075/N900_RS05315,0.8006578871196665,0.09655301384643147,0.3501062058765232
Program7,GO:0006935,chemotaxis,BP,3,69,68,1.8011508951406652,0.23143240455104871,N900_RS04095/N900_RS17405/N900_RS18410,0.7232262642220272,0.14072581068592666,0.2555500982619442
Program7,GO:0016787,hydrolase activity,MF,2,38,68,2.180340557275542,0.23318085408024047,N900_RS02795/N900_RS17365,0.6477245946673347,0.18860961209306454,0.3385243333267081
Program7,GO:0000155,phosphorelay sensor kinase activity,MF,2,42,68,1.972689075630252,0.26934314757446665,N900_RS07080/N900_RS17760,0.6733578689361666,0.17175406029860674,0.29505863954561773
Program7,GO:0007165,signal transduction,BP,3,76,68,1.6352554179566565,0.2773667775503888,N900_RS17405/N900_RS17760/N900_RS18410,0.6303790398872473,0.20039823557662614,0.21358559671840818
Program7,GO:0009055,electron transfer activity,MF,2,44,68,1.8830213903743316,0.28744850300449776,N900_RS03260/N900_RS10165,0.598851047926037,0.2226811861385195,0.2748552534573308
Program7,GO:0006355,regulation of DNA-templated transcription,BP,5,150,68,1.3808823529411764,0.294437399264669,N900_RS00215/N900_RS08880/N900_RS10660/N900_RS12140/N900_RS18125,0.5662257678166711,0.24701037063684478,0.1401566795598746
Program7,GO:0016020,membrane,CC,9,310,68,1.2027039848197343,0.33017920636049586,N900_RS00425/N900_RS03680/N900_RS04490/N900_RS07080/N900_RS12865/N900_RS13265/N900_RS17405/N900_RS17730/N900_RS18125,0.5896057256437427,0.22943830770767348,0.08015874988458921
Program7,GO:0009279,cell outer membrane,CC,2,50,68,1.6570588235294117,0.34138299666340877,N900_RS03390/N900_RS16865,0.5689716611056813,0.24490936406524527,0.2193379256074994
Program7,GO:0051539,"4 iron, 4 sulfur cluster binding",MF,2,57,68,1.4535603715170278,0.4026860196821388,N900_RS10165/N900_RS18140,0.6291969057533419,0.20121342180455742,0.16243307427102682
Program7,GO:0055085,transmembrane transport,BP,2,59,68,1.4042871385842473,0.41973915834574316,N900_RS01750/N900_RS06805,0.6172634681555046,0.20952942536232425,0.14745591830137406
Program7,GO:0005886,plasma membrane,CC,17,661,68,1.0654311649016641,0.42806037401156327,N900_RS00425/N900_RS01745/N900_RS01750/N900_RS04075/N900_RS04240/N900_RS05455/N900_RS06805/N900_RS06830/N900_RS07490/N900_RS09030/N900_RS14190/N900_RS14620/N900_RS15030/N900_RS16715/N900_RS17760/N900_RS18410/N900_RS18705,0.5945282972382823,0.2258274698224601,0.027525396172170723
Program7,GO:0003700,DNA-binding transcription factor activity,MF,3,126,68,0.9863445378151262,0.5940755159964515,N900_RS08880/N900_RS10660/N900_RS18125,0.7816783105216466,0.10697193838373872,-0.005971356118363353
Program7,GO:0005737,cytoplasm,CC,10,433,68,0.9567314223610923,0.6138479202256693,N900_RS00265/N900_RS01305/N900_RS04095/N900_RS04495/N900_RS07360/N900_RS08235/N900_RS08335/N900_RS10660/N900_RS12690/N900_RS16660,0.7673099002820866,0.11502919824115294,-0.019209962073828368
Program7,GO:0022857,transmembrane transporter activity,MF,2,87,68,0.9523326572008114,0.6282569260089225,N900_RS01750/N900_RS05455,0.7479249119153839,0.1261420010362229,-0.021211322675100272
Program7,GO:0000287,magnesium ion binding,MF,2,89,68,0.9309319233311303,0.640758114674917,N900_RS04735/N900_RS06350,0.7281342212214965,0.13778855727637085,-0.031082076701394512
Program7,GO:0005829,cytosol,CC,9,420,68,0.8877100840336134,0.7044429017669713,N900_RS00090/N900_RS00215/N900_RS00250/N900_RS04610/N900_RS06350/N900_RS06515/N900_RS07360/N900_RS16660/N900_RS17365,0.7656988062684471,0.11594202997466602,-0.05172884667903857
Program7,GO:0046872,metal ion binding,MF,6,290,68,0.8570993914807303,0.7163224322857706,N900_RS00250/N900_RS00265/N900_RS01885/N900_RS03260/N900_RS10165/N900_RS16660,0.7461692002976777,0.12716268134292916,-0.06696881323577536
Program7,GO:0003677,DNA binding,MF,2,172,68,0.481703146374829,0.9276428290310087,N900_RS08880/N900_RS15140,0.9276428290310086,0.032619208306541025,-0.31722051696403064
