Program,Gene,Gene_display,Loading,Abs_loading
Program1,N900_RS00490,ubiA,6.737317085266113,6.737317085266113
Program1,N900_RS02135,rpiA,6.730844974517822,6.730844974517822
Program1,N900_RS01155,rpmE,6.73041296005249,6.73041296005249
Program1,N900_RS13425,wzt,6.727700233459473,6.727700233459473
Program1,N900_RS13970,atpD,6.724911212921143,6.724911212921143
Program1,N900_RS05330,VC_1802,6.723155975341797,6.723155975341797
Program1,N900_RS13430,wzm,6.717454433441162,6.717454433441162
Program1,N900_RS00895,gspD,6.716792106628418,6.716792106628418
Program1,N900_RS13985,atpH,6.716017723083496,6.716017723083496
Program1,N900_RS13540,wavA,6.7142333984375,6.7142333984375
Program1,N900_RS11430,secG,6.713315010070801,6.713315010070801
Program1,N900_RS04860,lrp_1,6.713225364685059,6.713225364685059
Program1,N900_RS03585,prmC,6.712380886077881,6.712380886077881
Program1,N900_RS03135,ribE_2,6.706120014190674,6.706120014190674
Program1,N900_RS00920,gspI,6.706014156341553,6.706014156341553
Program1,N900_RS01285,gpsA,6.705159664154053,6.705159664154053
Program1,N900_RS02205,rseB,6.692123889923096,6.692123889923096
Program1,N900_RS00900,gspE,6.687756061553955,6.687756061553955
Program1,N900_RS03020,apbE,6.683693885803223,6.683693885803223
Program1,N900_RS09410,ybeY,6.683363437652588,6.683363437652588
Program1,N900_RS06880,fabA,6.680649757385254,6.680649757385254
Program1,N900_RS03150,pgpA,6.675309658050537,6.675309658050537
Program1,N900_RS03995,odhB,6.672582149505615,6.672582149505615
Program1,N900_RS08175,pgsA,6.662843227386475,6.662843227386475
Program1,N900_RS02880,recC,6.662081718444824,6.662081718444824
Program1,N900_RS11670,panB,6.655584812164307,6.655584812164307
Program1,N900_RS03315,gmhA/lpcA,6.647315979003906,6.647315979003906
Program1,N900_RS03145,thiL,6.646633625030518,6.646633625030518
Program1,N900_RS09665,gmhB,6.642454624176025,6.642454624176025
Program1,N900_RS05440,N-acetylmannosamine-6-phosphate 2-epimerase,6.642348766326904,6.642348766326904
Program1,N900_RS00930,epsK,6.635562896728516,6.635562896728516
Program1,N900_RS13530,waaC,6.633454322814941,6.633454322814941
Program1,N900_RS04310,fabH1,6.617276191711426,6.617276191711426
Program1,N900_RS02200,rsea,6.603458404541016,6.603458404541016
Program1,N900_RS09420,lnt,6.600583553314209,6.600583553314209
Program1,N900_RS13465,wavL,6.5949249267578125,6.5949249267578125
Program1,N900_RS13480,waaF,6.587015151977539,6.587015151977539
Program1,N900_RS04190,sodB,6.582160949707031,6.582160949707031
Program1,N900_RS10385,rodZ,6.577499866485596,6.577499866485596
Program1,N900_RS11915,csrA,6.57426118850708,6.57426118850708
Program1,N900_RS01290,cysE,6.569716930389404,6.569716930389404
Program1,N900_RS05195,pal_1,6.5687479972839355,6.5687479972839355
Program1,N900_RS02395,pilD,6.567526817321777,6.567526817321777
Program1,N900_RS14005,F0F1 ATP synthase subunit I,6.563695430755615,6.563695430755615
Program1,N900_RS03905,fur,6.558061122894287,6.558061122894287
Program1,N900_RS02340,hldE,6.539042949676514,6.539042949676514
Program1,N900_RS04090,cheY3,6.517756938934326,6.517756938934326
Program1,N900_RS04350,holB,6.511351108551025,6.511351108551025
Program1,N900_RS16025,type II toxin-antitoxin system Phd/YefM family antitoxin_1,6.50095272064209,6.50095272064209
Program1,N900_RS04780,clpx,6.48715877532959,6.48715877532959
Program2,N900_RS17025,secD_2,4.781381130218506,4.781381130218506
Program2,N900_RS11030,IS21 family transposase,4.7370710372924805,4.7370710372924805
Program2,N900_RS05100,ompT,4.727475166320801,4.727475166320801
Program2,N900_RS07935,iron-regulated protein A,4.727043628692627,4.727043628692627
Program2,N900_RS01460,cfxP,4.682487487792969,4.682487487792969
Program2,N900_RS18680,MltR family transcriptional regulator,4.654031276702881,4.654031276702881
Program2,N900_RS06425,almE,4.559879779815674,4.559879779815674
Program2,N900_RS00630,VC_0127,4.557163238525391,4.557163238525391
Program2,N900_RS06750,formate dehydrogenase subunit gamma,4.5414533615112305,4.5414533615112305
Program2,N900_RS09905,type IV pilin protein,4.511387825012207,4.511387825012207
Program2,N900_RS11590,phnT,4.507544040679932,4.507544040679932
Program2,N900_RS13685,ggt,4.499971866607666,4.499971866607666
Program2,N900_RS16875,beta-phosphoglucomutase family hydrolase,4.451101303100586,4.451101303100586
Program2,N900_RS07550,hmgA,4.447004318237305,4.447004318237305
Program2,N900_RS09005,VC_1044,4.432087421417236,4.432087421417236
Program2,N900_RS11060,TrhF,4.423715114593506,4.423715114593506
Program2,N900_RS07805,aspC,4.408764362335205,4.408764362335205
