Program,GO_ID,GO_term,Ontology,Overlap,Term_size,Input_size,Fold_enrichment,P_value,Genes,FDR_BH,minus_log10_FDR,log10_Fold_enrichment
Program1,GO:0009244,lipopolysaccharide core region biosynthetic process,BP,5,12,46,25.516304347826082,6.765748361730778e-07,N900_RS03315/N900_RS09665/N900_RS13480/N900_RS13530/N900_RS13540,1.556122123198079e-05,4.807956322931281,1.406817773592593
Program1,GO:0008713,ADP-heptose-lipopolysaccharide heptosyltransferase activity,MF,3,4,46,45.92934782608695,1.612794821320839e-05,N900_RS13480/N900_RS13530/N900_RS13540,0.0001854714044518965,3.7317230393969503,1.6620902786958993
Program1,GO:0045259,proton-transporting ATP synthase complex,CC,3,10,46,18.371739130434783,0.00045156126230893695,N900_RS13970/N900_RS13985/N900_RS14005,0.00346196967770185,2.460676740292062,1.2641502700238618
Program1,GO:0008270,zinc ion binding,MF,5,74,46,4.1377790834312576,0.006463138883871555,N900_RS03315/N900_RS03905/N900_RS04780/N900_RS09410/N900_RS09665,0.037163048582261445,1.4298886669026312,0.616767299909242
Program1,GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism",MF,2,8,46,15.309782608695652,0.006862555404723726,N900_RS13970/N900_RS13985,0.03156775486172914,1.5007563045770493,1.184969023976237
Program1,GO:0009306,protein secretion,BP,2,12,46,10.206521739130434,0.015517470084943355,N900_RS00930/N900_RS11430,0.05948363532561619,1.2256024975540842,1.0088777649205556
Program1,GO:0140359,ABC-type transporter activity,MF,2,15,46,8.165217391304347,0.023932076438484908,N900_RS13425/N900_RS13430,0.07863396544073613,1.1043898226981583,0.9119677519124992
Program1,GO:0015627,type II protein secretion system complex,CC,2,17,46,7.20460358056266,0.030364389643478706,N900_RS00900/N900_RS00920,0.08729762022500129,1.0589975952089452,0.8576100895899066
Program1,GO:0005829,cytosol,CC,12,420,46,1.7496894409937886,0.03279238589331217,N900_RS01290/N900_RS02135/N900_RS03135/N900_RS03315/N900_RS03905/N900_RS03995/N900_RS04860/N900_RS05440/N900_RS11915/N900_RS13480/N900_RS13530/N900_RS13540,0.08380276394957555,1.0767416574048825,0.2429609709539236
Program1,GO:0015628,protein secretion by the type II secretion system,BP,2,18,46,6.804347826086957,0.03380975063629404,N900_RS00900/N900_RS00920,0.07776242646347628,1.109230196342366,0.8327865058648745
Program1,GO:0005886,plasma membrane,CC,16,661,46,1.4823390120370978,0.053656055255083795,N900_RS00490/N900_RS00900/N900_RS00920/N900_RS00930/N900_RS02200/N900_RS02395/N900_RS03020/N900_RS03150/N900_RS08175/N900_RS09420/N900_RS10385/N900_RS11430/N900_RS13430/N900_RS13970/N900_RS13985/N900_RS14005,0.11218993371517522,0.9500461085707171,0.1709475384744838
Program1,GO:0032259,methylation,BP,2,32,46,3.827445652173913,0.09500018081300532,N900_RS02395/N900_RS03585,0.18208367989159355,0.7397289781515448,0.5829090326482745
Program1,GO:0005975,carbohydrate metabolic process,BP,2,34,46,3.60230179028133,0.10529739753196381,N900_RS05440/N900_RS13465,0.18629539563347444,0.7297978787359936,0.5565800939259253
Program1,GO:0051301,cell division,BP,2,35,46,3.4993788819875773,0.11055689621516744,N900_RS04780/N900_RS05195,0.18162918663920366,0.7408143618840218,0.5439909666179048
Program1,GO:0043565,sequence-specific DNA binding,MF,2,35,46,3.4993788819875773,0.11055689621516744,N900_RS04860/N900_RS16025,0.16952057419659008,0.7707775852614651,0.5439909666179048
Program1,GO:0016887,ATP hydrolysis activity,MF,4,126,46,1.9440993788819876,0.14780045422077145,N900_RS00900/N900_RS04780/N900_RS13425/N900_RS13970,0.21246315294235896,0.6727163779024513,0.2887184615145988
Program1,GO:0000287,magnesium ion binding,MF,3,89,46,2.064240351734245,0.17612344527963503,N900_RS03145/N900_RS09665/N900_RS11670,0.23828466126068265,0.6229039129378351,0.3147602633789489
Program1,GO:0005737,cytoplasm,CC,8,433,46,1.1314388994879003,0.41227053048558154,N900_RS03135/N900_RS04090/N900_RS04190/N900_RS04310/N900_RS06880/N900_RS09410/N900_RS09665/N900_RS11670,0.5267901222871321,0.2783623769836231,0.0536311059427774
Program1,GO:0046872,metal ion binding,MF,5,290,46,1.0558470764617691,0.520324435439102,N900_RS00900/N900_RS01155/N900_RS03020/N900_RS03150/N900_RS04090,0.6298664218473341,0.20075154325373554,0.023601021741262003
