Model,Rank,Program,Time,Space,Value,Requested_rank,Program_number,Program_label,Abs_value
PCA,10,PC1,1h,st,0.0014188885755935,8,1,PCA 1,0.0014188885755935
PCA,10,PC1,1h,SI1,0.6352595715396835,8,1,PCA 1,0.6352595715396835
PCA,10,PC1,1h,SI2,-0.1499479198212338,8,1,PCA 1,0.1499479198212338
PCA,10,PC1,1h,SI3,-0.7051152524446802,8,1,PCA 1,0.7051152524446802
PCA,10,PC1,1h,SI4,-0.8505379156377997,8,1,PCA 1,0.8505379156377997
PCA,10,PC1,1h,SI5,-0.9249141140593282,8,1,PCA 1,0.9249141140593282
PCA,10,PC1,1h,SI6,-0.9660468893425526,8,1,PCA 1,0.9660468893425526
PCA,10,PC1,1h,SI7,-0.8938967439015617,8,1,PCA 1,0.8938967439015617
PCA,10,PC1,1h,SI8,-0.8633925737000834,8,1,PCA 1,0.8633925737000834
PCA,10,PC1,1h,SI9,-0.6954921881402194,8,1,PCA 1,0.6954921881402194
PCA,10,PC1,1h,ce,0.0372157832271869,8,1,PCA 1,0.0372157832271869
PCA,10,PC1,1h,co,0.1427549978715273,8,1,PCA 1,0.1427549978715273
PCA,10,PC1,3h,st,0.3583928077866459,8,1,PCA 1,0.3583928077866459
PCA,10,PC1,3h,SI1,1.413369777184731,8,1,PCA 1,1.413369777184731
PCA,10,PC1,3h,SI2,1.3822606098079246,8,1,PCA 1,1.3822606098079246
PCA,10,PC1,3h,SI3,1.3632421176407474,8,1,PCA 1,1.3632421176407474
PCA,10,PC1,3h,SI4,1.1358973266459376,8,1,PCA 1,1.1358973266459376
PCA,10,PC1,3h,SI5,1.1798689824679416,8,1,PCA 1,1.1798689824679416
PCA,10,PC1,3h,SI6,0.1246091232133697,8,1,PCA 1,0.1246091232133697
PCA,10,PC1,3h,SI7,0.2425411902491444,8,1,PCA 1,0.2425411902491444
PCA,10,PC1,3h,SI8,0.0936049503062583,8,1,PCA 1,0.0936049503062583
PCA,10,PC1,3h,SI9,-0.0530293080862068,8,1,PCA 1,0.0530293080862068
PCA,10,PC1,3h,ce,-0.7237235816434522,8,1,PCA 1,0.7237235816434522
PCA,10,PC1,3h,co,-0.810990899794297,8,1,PCA 1,0.810990899794297
PCA,10,PC1,6h,st,0.4999326085572768,8,1,PCA 1,0.4999326085572768
PCA,10,PC1,6h,SI1,1.1169829077599474,8,1,PCA 1,1.1169829077599474
PCA,10,PC1,6h,SI2,1.4033571210670317,8,1,PCA 1,1.4033571210670317
PCA,10,PC1,6h,SI3,1.4016330241761226,8,1,PCA 1,1.4016330241761226
PCA,10,PC1,6h,SI4,1.346742126233821,8,1,PCA 1,1.346742126233821
PCA,10,PC1,6h,SI5,0.4867973050942246,8,1,PCA 1,0.4867973050942246
PCA,10,PC1,6h,SI6,-0.6253955239407365,8,1,PCA 1,0.6253955239407365
PCA,10,PC1,6h,SI7,-0.7148684485051171,8,1,PCA 1,0.7148684485051171
PCA,10,PC1,6h,SI8,-0.6393840059842055,8,1,PCA 1,0.6393840059842055
PCA,10,PC1,6h,SI9,-0.6968989724321479,8,1,PCA 1,0.6968989724321479
PCA,10,PC1,6h,ce,-0.2507666038030498,8,1,PCA 1,0.2507666038030498
PCA,10,PC1,6h,co,-0.5137431824669247,8,1,PCA 1,0.5137431824669247
PCA,10,PC1,12h,st,0.2844938293761437,8,1,PCA 1,0.2844938293761437
PCA,10,PC1,12h,SI1,1.395599762428187,8,1,PCA 1,1.395599762428187
PCA,10,PC1,12h,SI2,1.3432675509484269,8,1,PCA 1,1.3432675509484269
PCA,10,PC1,12h,SI3,1.113667575046009,8,1,PCA 1,1.113667575046009
PCA,10,PC1,12h,SI4,0.4032377791037874,8,1,PCA 1,0.4032377791037874
PCA,10,PC1,12h,SI5,-0.4295880833868826,8,1,PCA 1,0.4295880833868826
PCA,10,PC1,12h,SI6,-0.7272644914412737,8,1,PCA 1,0.7272644914412737
PCA,10,PC1,12h,SI7,-0.8131624449004536,8,1,PCA 1,0.8131624449004536
PCA,10,PC1,12h,SI8,-0.5837612241026043,8,1,PCA 1,0.5837612241026043
PCA,10,PC1,12h,SI9,-0.6459003426072047,8,1,PCA 1,0.6459003426072047
PCA,10,PC1,12h,ce,-0.4568201330949941,8,1,PCA 1,0.4568201330949941
PCA,10,PC1,12h,co,-0.5374444264777755,8,1,PCA 1,0.5374444264777755
PCA,10,PC1,24h,st,0.1585200267073536,8,1,PCA 1,0.1585200267073536
PCA,10,PC1,24h,SI1,0.2625032942592638,8,1,PCA 1,0.2625032942592638
PCA,10,PC1,24h,SI2,-0.0357143429165126,8,1,PCA 1,0.0357143429165126
PCA,10,PC1,24h,SI3,-0.1368841281790396,8,1,PCA 1,0.1368841281790396
PCA,10,PC1,24h,SI4,-0.339045179275614,8,1,PCA 1,0.339045179275614
PCA,10,PC1,24h,SI5,-0.4241859336250472,8,1,PCA 1,0.4241859336250472
PCA,10,PC1,24h,SI6,-0.5146821539828991,8,1,PCA 1,0.5146821539828991
PCA,10,PC1,24h,SI7,-0.5646686136400146,8,1,PCA 1,0.5646686136400146
PCA,10,PC1,24h,SI8,-0.5719128770057188,8,1,PCA 1,0.5719128770057188
PCA,10,PC1,24h,SI9,-0.4858492281659724,8,1,PCA 1,0.4858492281659724
PCA,10,PC1,24h,ce,-0.532043458564394,8,1,PCA 1,0.532043458564394
PCA,10,PC1,24h,co,-0.4500998522042895,8,1,PCA 1,0.4500998522042895
CP,10,CP1,1h,st,0.0156884299029289,8,1,CP 1,0.0156884299029289
CP,10,CP1,1h,SI1,0.0148233990977139,8,1,CP 1,0.0148233990977139
CP,10,CP1,1h,SI2,0.0118443733274861,8,1,CP 1,0.0118443733274861
CP,10,CP1,1h,SI3,0.0131104591083009,8,1,CP 1,0.0131104591083009
CP,10,CP1,1h,SI4,0.0030304884662523,8,1,CP 1,0.0030304884662523
CP,10,CP1,1h,SI5,-0.0046123482662561,8,1,CP 1,0.0046123482662561
CP,10,CP1,1h,SI6,-0.0114645451724564,8,1,CP 1,0.0114645451724564
CP,10,CP1,1h,SI7,-0.0112015155298874,8,1,CP 1,0.0112015155298874
CP,10,CP1,1h,SI8,-0.0091623435562882,8,1,CP 1,0.0091623435562882
CP,10,CP1,1h,SI9,-0.0084808158263834,8,1,CP 1,0.0084808158263834
CP,10,CP1,1h,ce,-0.0067259623253841,8,1,CP 1,0.0067259623253841
CP,10,CP1,1h,co,-0.0058949854112486,8,1,CP 1,0.0058949854112486
CP,10,CP1,3h,st,0.2646273887940125,8,1,CP 1,0.2646273887940125
CP,10,CP1,3h,SI1,0.2500363274432725,8,1,CP 1,0.2500363274432725
CP,10,CP1,3h,SI2,0.199787079073409,8,1,CP 1,0.199787079073409
CP,10,CP1,3h,SI3,0.2211430067372539,8,1,CP 1,0.2211430067372539
CP,10,CP1,3h,SI4,0.0511173045713782,8,1,CP 1,0.0511173045713782
CP,10,CP1,3h,SI5,-0.0777996068096064,8,1,CP 1,0.0777996068096064
CP,10,CP1,3h,SI6,-0.19338025994123,8,1,CP 1,0.19338025994123
CP,10,CP1,3h,SI7,-0.1889435605443397,8,1,CP 1,0.1889435605443397
CP,10,CP1,3h,SI8,-0.1545474636745867,8,1,CP 1,0.1545474636745867
CP,10,CP1,3h,SI9,-0.1430516731671018,8,1,CP 1,0.1430516731671018
CP,10,CP1,3h,ce,-0.1134513688307984,8,1,CP 1,0.1134513688307984
CP,10,CP1,3h,co,-0.0994347175599952,8,1,CP 1,0.0994347175599952
CP,10,CP1,6h,st,0.2576756147839071,8,1,CP 1,0.2576756147839071
CP,10,CP1,6h,SI1,0.2434678613044354,8,1,CP 1,0.2434678613044354
CP,10,CP1,6h,SI2,0.194538663064065,8,1,CP 1,0.194538663064065
CP,10,CP1,6h,SI3,0.2153335694988838,8,1,CP 1,0.2153335694988838
CP,10,CP1,6h,SI4,0.0497744505644463,8,1,CP 1,0.0497744505644463
CP,10,CP1,6h,SI5,-0.0757558074618509,8,1,CP 1,0.0757558074618509
CP,10,CP1,6h,SI6,-0.1883001513732794,8,1,CP 1,0.1883001513732794
