Model,Program,Program_number,Program_label,Space,Strength,Signed_mean,Relative_strength
CP,CP1,1,CP 1,SI1,0.1486545807659974,0.1486545807659974,0.9448618624956551
CP,CP1,1,CP 1,SI2,0.11877979806297896,0.11877979806297896,0.7549750612886273
CP,CP1,1,CP 1,SI3,0.13147657899157458,0.13147657899157458,0.8356769408679496
CP,CP1,1,CP 1,SI4,0.03039086983338458,0.03039086983338458,0.19316709734519633
CP,CP1,1,CP 1,SI5,0.046254350526986385,-0.046254350526986385,0.29399680495719976
CP,CP1,1,CP 1,SI6,0.11497073950786274,-0.11497073950786274,0.7307643431109784
CP,CP1,1,CP 1,SI7,0.11233298004477385,-0.11233298004477385,0.713998507128884
CP,CP1,1,CP 1,SI8,0.09188340212766166,-0.09188340212766166,0.5840191537954799
CP,CP1,1,CP 1,SI9,0.0850487875900937,-0.0850487875900937,0.5405777301398459
CP,CP1,1,CP 1,ce,0.06745046147223219,-0.06745046147223219,0.42872118924587055
CP,CP1,1,CP 1,co,0.05911711471534076,-0.05911711471534076,0.3757536890385739
CP,CP1,1,CP 1,st,0.15732943265733831,0.15732943265733831,1.0
CP,CP2,2,CP 2,SI1,0.01934051507077176,-6.554604876023978e-05,0.07473755159645311
CP,CP2,2,CP 2,SI2,0.11290948221212911,-0.0003826563253094439,0.4363161074913954
CP,CP2,2,CP 2,SI3,0.20021726394296357,-0.0006785471067875859,0.7736995648606995
CP,CP2,2,CP 2,SI4,0.24472565186567427,-0.0008293884341435299,0.9456933264888794
CP,CP2,2,CP 2,SI5,0.2587790830398252,-0.0008770162704043099,1.0
CP,CP2,2,CP 2,SI6,0.20514721530433205,-0.0006952549778621198,0.7927503757046723
CP,CP2,2,CP 2,SI7,0.2060562661269721,-0.0006983358001322771,0.7962632207613964
CP,CP2,2,CP 2,SI8,0.19509334754055396,-0.000661181877726881,0.7538992149165694
CP,CP2,2,CP 2,SI9,0.1638092381822842,-0.0005551583437146942,0.6330080324037416
CP,CP2,2,CP 2,ce,0.0563478410288011,-0.00019096587252689923,0.21774495978150352
CP,CP2,2,CP 2,co,0.00706638500592572,-2.394835993055986e-05,0.02730663128919978
CP,CP2,2,CP 2,st,0.1455553250251224,0.0004932948474485859,0.5624694365375811
CP,CP3,3,CP 3,SI1,0.2751740467288244,-0.2158005782808241,0.4491774676197581
CP,CP3,3,CP 3,SI2,0.10550754967183315,-0.08274250607148328,0.1722241415559907
CP,CP3,3,CP 3,SI3,0.0693127992755353,-0.05435738705643126,0.11314202055872989
CP,CP3,3,CP 3,SI4,0.00119074463607294,0.00093382128185426,0.0019436995115318326
CP,CP3,3,CP 3,SI5,0.022154714601344043,-0.01737445910852268,0.03616401589746214
CP,CP3,3,CP 3,SI6,0.01020764687213996,-0.00800517390386404,0.01666234525708376
CP,CP3,3,CP 3,SI7,0.02010019725262946,-0.01576323872923478,0.032810346062508884
CP,CP3,3,CP 3,SI8,0.009223871769568699,-0.00723366496776742,0.015056490291714167
CP,CP3,3,CP 3,SI9,0.005418874843765901,0.00424966067409874,0.008845443487880411
CP,CP3,3,CP 3,ce,0.0003635393476856427,0.00028509956658708273,0.0005934196393691761
CP,CP3,3,CP 3,co,0.0347817448339237,0.02727699337202994,0.05677561619499172
CP,CP3,3,CP 3,st,0.6126176546366019,0.4804350036175582,1.0
CP,CP4,4,CP 4,SI1,0.24302764439227684,-0.0032629961857558397,1.0
CP,CP4,4,CP 4,SI2,0.177890652141414,-0.0023884382407217963,0.7319770250263232
CP,CP4,4,CP 4,SI3,0.15174994193097352,-0.0020374615527696204,0.6244143225370289
CP,CP4,4,CP 4,SI4,0.18680726730219405,-0.002508156642849374,0.7686667406472651
CP,CP4,4,CP 4,SI5,0.18080809840321205,-0.002427609159109284,0.7439816110440723
CP,CP4,4,CP 4,SI6,0.14913502468476728,-0.0020023525221827152,0.6136545702761486
CP,CP4,4,CP 4,SI7,0.16354459985015765,-0.002195821824494415,0.6729464882858196
CP,CP4,4,CP 4,SI8,0.15141433187835224,-0.0020329555043966606,0.6230333683107699
CP,CP4,4,CP 4,SI9,0.1651027504772698,-0.002216742241041303,0.6793579014030743
CP,CP4,4,CP 4,ce,0.22577937497350228,-0.00303141332420489,0.9290275414473684
CP,CP4,4,CP 4,co,0.20473179722765425,-0.002748819275795955,0.8424218476857377
CP,CP4,4,CP 4,st,0.11679418150446197,-0.0015681301183678997,0.48057981961896334
CP,CP5,5,CP 5,SI1,0.40797636003136584,0.005909930518986894,0.8368060146021068
CP,CP5,5,CP 5,SI2,0.48753994702745374,0.0070624857085868215,1.0
CP,CP5,5,CP 5,SI3,0.3525712511586731,0.005107334153331408,0.7231638213613285
CP,CP5,5,CP 5,SI4,0.2372166917885526,0.0034363122566868575,0.48655847225416127
CP,CP5,5,CP 5,SI5,0.05475119489948693,0.0007931237919339389,0.1123009411501697
CP,CP5,5,CP 5,SI6,0.05172803763691865,0.0007493304472205596,0.10610010103234845
CP,CP5,5,CP 5,SI7,0.0182509287213131,0.00026438228097733967,0.03743473500497668
CP,CP5,5,CP 5,SI8,0.01983100428431428,0.00028727119736304065,0.04067565007795675
CP,CP5,5,CP 5,SI9,0.001200145119658087,-1.7385257982446932e-05,0.002461634430112669
CP,CP5,5,CP 5,ce,0.03311972740153672,0.0004797711507986021,0.06793233580851935
CP,CP5,5,CP 5,co,0.028700762172704904,0.0004157581833163399,0.05886853446101052
CP,CP5,5,CP 5,st,0.29259626210729894,0.004238538671790839,0.6001482830099718
CP,CP6,6,CP 6,SI1,0.04550431922574374,-0.043349667435586894,0.06371148721869689
CP,CP6,6,CP 6,SI2,0.26131994644947715,0.2489463190663755,0.36587916732940207
CP,CP6,6,CP 6,SI3,0.25479715624323807,0.2427323861693726,0.35674648120364344
CP,CP6,6,CP 6,SI4,0.1736546118164915,-0.16543198094131695,0.24313721794908005
CP,CP6,6,CP 6,SI5,0.15812726314274575,-0.15063985982806502,0.22139707342214185
CP,CP6,6,CP 6,SI6,0.0129402114895649,0.0123274861411715,0.01811784316197896
CP,CP6,6,CP 6,SI7,0.03411185106117284,0.03249663821533516,0.04776066975331141
CP,CP6,6,CP 6,SI8,0.12132399428297314,0.11557924376436965,0.16986809697633842
CP,CP6,6,CP 6,SI9,0.14398974509807758,0.13717176018326793,0.20160285793814453
CP,CP6,6,CP 6,ce,0.05733668288000796,0.05462176287876173,0.08027821096168478
CP,CP6,6,CP 6,co,0.04490943682654898,0.04278295300919486,0.06287858073821752
CP,CP6,6,CP 6,st,0.7142247216666754,-0.6804058314756368,1.0
CP,CP7,7,CP 7,SI1,0.0143110209158709,0.0027326113241263805,0.009820564259207652
CP,CP7,7,CP 7,SI2,0.20690905759683104,0.03950815509090554,0.14198593572652332
CP,CP7,7,CP 7,SI3,0.22345326989559128,0.042667182119243335,0.15333896923496892
CP,CP7,7,CP 7,SI4,0.3838733859631124,0.07329852759492712,0.2634230832595321
CP,CP7,7,CP 7,SI5,0.3262424852475649,0.06229422169385329,0.2238753831254772
CP,CP7,7,CP 7,SI6,0.1125293858417884,0.02148687196084264,0.0772203514483651
CP,CP7,7,CP 7,SI7,0.09650737986090223,0.018427557378328383,0.0662256683840558
CP,CP7,7,CP 7,SI8,0.1393857275807989,0.026614943814838848,0.09564981440321978
CP,CP7,7,CP 7,SI9,0.09809067524832295,0.018729878989800896,0.06731216348352341
CP,CP7,7,CP 7,ce,0.2316430905521077,0.044230983667722795,0.15895901971924364
CP,CP7,7,CP 7,co,0.0334657958700171,0.006390111041197221,0.022965028194637974
CP,CP7,7,CP 7,st,1.4572503715815561,-0.27825400374162074,1.0
CP,CP8,8,CP 8,SI1,0.14108747076887856,-0.13776089765305613,0.5969849272944188
CP,CP8,8,CP 8,SI2,0.23633338853008862,0.23076109857144805,1.0
CP,CP8,8,CP 8,SI3,0.08243969792222502,-0.08049592728624953,0.3488279774388682
