Model,Program,Program_number,Program_label,Time,Strength,Signed_mean,Relative_strength
CP,CP1,1,CP 1,12h,0.11563282096633924,0.0009512867867231914,0.7089254816589837
CP,CP1,1,CP 1,1h,0.00966997216588219,7.955281789815822e-05,0.05928498170361662
CP,CP1,1,CP 1,24h,0.03763261101042791,0.00030959553961359184,0.23071924271759284
CP,CP1,1,CP 1,3h,0.1631099797622487,0.0013418713409723236,1.0
CP,CP1,1,CP 1,6h,0.1588250728851958,0.0013066203174271415,0.9737299527392582
CP,CP2,2,CP 2,12h,0.03725745918825287,-0.031281834594280626,0.10689366529336089
CP,CP2,2,CP 2,1h,0.2913455146586189,-0.24461738395220545,0.8358860375121779
CP,CP2,2,CP 2,24h,0.05081346544689958,-0.04266362913371404,0.1457865803578258
CP,CP2,2,CP 2,3h,0.3485469329356687,0.2926444191845251,1.0
CP,CP2,2,CP 2,6h,0.02830646708112471,0.02376646825823754,0.08121278486862839
CP,CP3,3,CP 3,12h,0.019187639522376846,0.002348020729861563,0.05816119792062932
CP,CP3,3,CP 3,1h,0.06796893293059549,0.008317462047454517,0.20602610112724548
CP,CP3,3,CP 3,24h,0.016378737212854644,0.0020042910676890792,0.04964690813666134
CP,CP3,3,CP 3,3h,0.3299044759800441,0.04037091418003147,1.0
CP,CP3,3,CP 3,6h,0.05241579121659778,-0.006414200360869675,0.15888172193143693
CP,CP4,4,CP 4,12h,0.1257410439522647,0.1257410439522647,0.3136615528240575
CP,CP4,4,CP 4,1h,0.4008812773518237,-0.4008812773518237,1.0
CP,CP4,4,CP 4,24h,0.2243656644943659,0.2243656644943659,0.5596810755954982
CP,CP4,4,CP 4,3h,0.04603675626441081,-0.04603675626441081,0.11483887840441041
CP,CP4,4,CP 4,6h,0.08496928492306653,0.08496928492306653,0.21195623174113792
CP,CP5,5,CP 5,12h,0.16538999433914006,-0.16519005098702674,0.40668419966033764
CP,CP5,5,CP 5,1h,0.007410598649698491,0.007401639825187325,0.018222223133261155
CP,CP5,5,CP 5,24h,0.00554438081859767,0.005537678103051347,0.0136333040268441
