Rank,Model,Program_1,Program_2,Correlation,Basis_source
2,PCA,PC1,PC1,1.0,first_2_programs_from_rank10_fit
2,PCA,PC1,PC2,9.589302028364375e-17,first_2_programs_from_rank10_fit
2,PCA,PC2,PC1,9.589302028364375e-17,first_2_programs_from_rank10_fit
2,PCA,PC2,PC2,0.9999999999999999,first_2_programs_from_rank10_fit
2,CP,CP1,CP1,1.0,first_2_programs_from_rank10_fit
2,CP,CP1,CP2,-0.13850087059892208,first_2_programs_from_rank10_fit
2,CP,CP2,CP1,-0.13850087059892208,first_2_programs_from_rank10_fit
2,CP,CP2,CP2,1.0,first_2_programs_from_rank10_fit
2,VAE,VAE1,VAE1,0.9999999999999998,first_2_programs_from_rank10_fit
2,VAE,VAE1,VAE2,0.2036426757592225,first_2_programs_from_rank10_fit
2,VAE,VAE2,VAE1,0.20364267575922249,first_2_programs_from_rank10_fit
2,VAE,VAE2,VAE2,1.0,first_2_programs_from_rank10_fit
2,weighted CPVAE,CPVAE1,CPVAE1,0.9999999999999999,first_2_programs_from_rank10_fit
2,weighted CPVAE,CPVAE1,CPVAE2,0.36465209481615685,first_2_programs_from_rank10_fit
2,weighted CPVAE,CPVAE2,CPVAE1,0.3646520948161568,first_2_programs_from_rank10_fit
2,weighted CPVAE,CPVAE2,CPVAE2,0.9999999999999998,first_2_programs_from_rank10_fit
3,PCA,PC1,PC1,1.0,first_3_programs_from_rank10_fit
3,PCA,PC1,PC2,9.589302028364375e-17,first_3_programs_from_rank10_fit
3,PCA,PC1,PC3,1.6738146632117187e-16,first_3_programs_from_rank10_fit
3,PCA,PC2,PC1,9.589302028364375e-17,first_3_programs_from_rank10_fit
3,PCA,PC2,PC2,0.9999999999999999,first_3_programs_from_rank10_fit
3,PCA,PC2,PC3,2.532982623454135e-16,first_3_programs_from_rank10_fit
3,PCA,PC3,PC1,1.6738146632117185e-16,first_3_programs_from_rank10_fit
3,PCA,PC3,PC2,2.532982623454135e-16,first_3_programs_from_rank10_fit
3,PCA,PC3,PC3,1.0,first_3_programs_from_rank10_fit
3,CP,CP1,CP1,1.0,first_3_programs_from_rank10_fit
3,CP,CP1,CP2,-0.13850087059892208,first_3_programs_from_rank10_fit
3,CP,CP1,CP3,0.08184640315931828,first_3_programs_from_rank10_fit
3,CP,CP2,CP1,-0.13850087059892208,first_3_programs_from_rank10_fit
3,CP,CP2,CP2,1.0,first_3_programs_from_rank10_fit
3,CP,CP2,CP3,-0.19093974304868813,first_3_programs_from_rank10_fit
3,CP,CP3,CP1,0.08184640315931829,first_3_programs_from_rank10_fit
3,CP,CP3,CP2,-0.19093974304868813,first_3_programs_from_rank10_fit
3,CP,CP3,CP3,1.0,first_3_programs_from_rank10_fit
3,VAE,VAE1,VAE1,0.9999999999999998,first_3_programs_from_rank10_fit
3,VAE,VAE1,VAE2,0.2036426757592225,first_3_programs_from_rank10_fit
3,VAE,VAE1,VAE3,0.21639844911000003,first_3_programs_from_rank10_fit
3,VAE,VAE2,VAE1,0.20364267575922249,first_3_programs_from_rank10_fit
3,VAE,VAE2,VAE2,1.0,first_3_programs_from_rank10_fit
3,VAE,VAE2,VAE3,-0.32502206366698905,first_3_programs_from_rank10_fit
3,VAE,VAE3,VAE1,0.21639844911000006,first_3_programs_from_rank10_fit
3,VAE,VAE3,VAE2,-0.32502206366698905,first_3_programs_from_rank10_fit
3,VAE,VAE3,VAE3,1.0,first_3_programs_from_rank10_fit
3,weighted CPVAE,CPVAE1,CPVAE1,0.9999999999999999,first_3_programs_from_rank10_fit
3,weighted CPVAE,CPVAE1,CPVAE2,0.36465209481615685,first_3_programs_from_rank10_fit
3,weighted CPVAE,CPVAE1,CPVAE3,0.03541023948163845,first_3_programs_from_rank10_fit
3,weighted CPVAE,CPVAE2,CPVAE1,0.3646520948161568,first_3_programs_from_rank10_fit
3,weighted CPVAE,CPVAE2,CPVAE2,0.9999999999999998,first_3_programs_from_rank10_fit
3,weighted CPVAE,CPVAE2,CPVAE3,0.04905780264694462,first_3_programs_from_rank10_fit
3,weighted CPVAE,CPVAE3,CPVAE1,0.035410239481638454,first_3_programs_from_rank10_fit
3,weighted CPVAE,CPVAE3,CPVAE2,0.049057802646944614,first_3_programs_from_rank10_fit
3,weighted CPVAE,CPVAE3,CPVAE3,0.9999999999999998,first_3_programs_from_rank10_fit
4,PCA,PC1,PC1,1.0,first_4_programs_from_rank10_fit
4,PCA,PC1,PC2,9.589302028364375e-17,first_4_programs_from_rank10_fit
4,PCA,PC1,PC3,1.6738146632117187e-16,first_4_programs_from_rank10_fit
4,PCA,PC1,PC4,1.7727440915743528e-16,first_4_programs_from_rank10_fit
4,PCA,PC2,PC1,9.589302028364375e-17,first_4_programs_from_rank10_fit
4,PCA,PC2,PC2,0.9999999999999999,first_4_programs_from_rank10_fit
4,PCA,PC2,PC3,2.532982623454135e-16,first_4_programs_from_rank10_fit
4,PCA,PC2,PC4,-1.0808722303223044e-16,first_4_programs_from_rank10_fit
4,PCA,PC3,PC1,1.6738146632117185e-16,first_4_programs_from_rank10_fit
4,PCA,PC3,PC2,2.532982623454135e-16,first_4_programs_from_rank10_fit
4,PCA,PC3,PC3,1.0,first_4_programs_from_rank10_fit
4,PCA,PC3,PC4,6.258944227144384e-16,first_4_programs_from_rank10_fit
4,PCA,PC4,PC1,1.7727440915743526e-16,first_4_programs_from_rank10_fit
4,PCA,PC4,PC2,-1.0808722303223044e-16,first_4_programs_from_rank10_fit
4,PCA,PC4,PC3,6.258944227144384e-16,first_4_programs_from_rank10_fit
4,PCA,PC4,PC4,1.0,first_4_programs_from_rank10_fit
4,CP,CP1,CP1,1.0,first_4_programs_from_rank10_fit
4,CP,CP1,CP2,-0.13850087059892208,first_4_programs_from_rank10_fit
4,CP,CP1,CP3,0.08184640315931828,first_4_programs_from_rank10_fit
4,CP,CP1,CP4,0.0019286395527554365,first_4_programs_from_rank10_fit
4,CP,CP2,CP1,-0.13850087059892208,first_4_programs_from_rank10_fit
4,CP,CP2,CP2,1.0,first_4_programs_from_rank10_fit
4,CP,CP2,CP3,-0.19093974304868813,first_4_programs_from_rank10_fit
4,CP,CP2,CP4,0.279925413000421,first_4_programs_from_rank10_fit
4,CP,CP3,CP1,0.08184640315931829,first_4_programs_from_rank10_fit
4,CP,CP3,CP2,-0.19093974304868813,first_4_programs_from_rank10_fit
4,CP,CP3,CP3,1.0,first_4_programs_from_rank10_fit
4,CP,CP3,CP4,0.015602932739432423,first_4_programs_from_rank10_fit
4,CP,CP4,CP1,0.0019286395527554365,first_4_programs_from_rank10_fit
4,CP,CP4,CP2,0.279925413000421,first_4_programs_from_rank10_fit
4,CP,CP4,CP3,0.015602932739432423,first_4_programs_from_rank10_fit
4,CP,CP4,CP4,1.0,first_4_programs_from_rank10_fit
4,VAE,VAE1,VAE1,0.9999999999999998,first_4_programs_from_rank10_fit
4,VAE,VAE1,VAE2,0.2036426757592225,first_4_programs_from_rank10_fit
4,VAE,VAE1,VAE3,0.21639844911000003,first_4_programs_from_rank10_fit
4,VAE,VAE1,VAE4,0.49763441473547565,first_4_programs_from_rank10_fit
4,VAE,VAE2,VAE1,0.20364267575922249,first_4_programs_from_rank10_fit
4,VAE,VAE2,VAE2,1.0,first_4_programs_from_rank10_fit
4,VAE,VAE2,VAE3,-0.32502206366698905,first_4_programs_from_rank10_fit
4,VAE,VAE2,VAE4,-0.30549357827814794,first_4_programs_from_rank10_fit
4,VAE,VAE3,VAE1,0.21639844911000006,first_4_programs_from_rank10_fit
4,VAE,VAE3,VAE2,-0.32502206366698905,first_4_programs_from_rank10_fit
4,VAE,VAE3,VAE3,1.0,first_4_programs_from_rank10_fit
4,VAE,VAE3,VAE4,0.8161392622627767,first_4_programs_from_rank10_fit
4,VAE,VAE4,VAE1,0.49763441473547565,first_4_programs_from_rank10_fit
4,VAE,VAE4,VAE2,-0.3054935782781479,first_4_programs_from_rank10_fit
4,VAE,VAE4,VAE3,0.8161392622627768,first_4_programs_from_rank10_fit
4,VAE,VAE4,VAE4,0.9999999999999998,first_4_programs_from_rank10_fit
4,weighted CPVAE,CPVAE1,CPVAE1,0.9999999999999999,first_4_programs_from_rank10_fit
4,weighted CPVAE,CPVAE1,CPVAE2,0.36465209481615685,first_4_programs_from_rank10_fit
4,weighted CPVAE,CPVAE1,CPVAE3,0.03541023948163845,first_4_programs_from_rank10_fit
4,weighted CPVAE,CPVAE1,CPVAE4,0.2996470768394944,first_4_programs_from_rank10_fit
4,weighted CPVAE,CPVAE2,CPVAE1,0.3646520948161568,first_4_programs_from_rank10_fit
4,weighted CPVAE,CPVAE2,CPVAE2,0.9999999999999998,first_4_programs_from_rank10_fit
4,weighted CPVAE,CPVAE2,CPVAE3,0.04905780264694462,first_4_programs_from_rank10_fit
4,weighted CPVAE,CPVAE2,CPVAE4,0.051614010660103994,first_4_programs_from_rank10_fit
4,weighted CPVAE,CPVAE3,CPVAE1,0.035410239481638454,first_4_programs_from_rank10_fit
4,weighted CPVAE,CPVAE3,CPVAE2,0.049057802646944614,first_4_programs_from_rank10_fit
4,weighted CPVAE,CPVAE3,CPVAE3,0.9999999999999998,first_4_programs_from_rank10_fit
4,weighted CPVAE,CPVAE3,CPVAE4,-0.013672567099632181,first_4_programs_from_rank10_fit
4,weighted CPVAE,CPVAE4,CPVAE1,0.2996470768394944,first_4_programs_from_rank10_fit
4,weighted CPVAE,CPVAE4,CPVAE2,0.051614010660103994,first_4_programs_from_rank10_fit
4,weighted CPVAE,CPVAE4,CPVAE3,-0.01367256709963218,first_4_programs_from_rank10_fit
4,weighted CPVAE,CPVAE4,CPVAE4,1.0,first_4_programs_from_rank10_fit
5,PCA,PC1,PC1,1.0,first_5_programs_from_rank10_fit
5,PCA,PC1,PC2,9.589302028364375e-17,first_5_programs_from_rank10_fit
5,PCA,PC1,PC3,1.6738146632117187e-16,first_5_programs_from_rank10_fit
5,PCA,PC1,PC4,1.7727440915743528e-16,first_5_programs_from_rank10_fit
5,PCA,PC1,PC5,5.453731223259127e-18,first_5_programs_from_rank10_fit
5,PCA,PC2,PC1,9.589302028364375e-17,first_5_programs_from_rank10_fit
5,PCA,PC2,PC2,0.9999999999999999,first_5_programs_from_rank10_fit
5,PCA,PC2,PC3,2.532982623454135e-16,first_5_programs_from_rank10_fit
5,PCA,PC2,PC4,-1.0808722303223044e-16,first_5_programs_from_rank10_fit
5,PCA,PC2,PC5,-7.917965574724918e-18,first_5_programs_from_rank10_fit
5,PCA,PC3,PC1,1.6738146632117185e-16,first_5_programs_from_rank10_fit
5,PCA,PC3,PC2,2.532982623454135e-16,first_5_programs_from_rank10_fit
5,PCA,PC3,PC3,1.0,first_5_programs_from_rank10_fit
5,PCA,PC3,PC4,6.258944227144384e-16,first_5_programs_from_rank10_fit
5,PCA,PC3,PC5,-2.1669794547599077e-17,first_5_programs_from_rank10_fit
5,PCA,PC4,PC1,1.7727440915743526e-16,first_5_programs_from_rank10_fit
5,PCA,PC4,PC2,-1.0808722303223044e-16,first_5_programs_from_rank10_fit
5,PCA,PC4,PC3,6.258944227144384e-16,first_5_programs_from_rank10_fit
5,PCA,PC4,PC4,1.0,first_5_programs_from_rank10_fit
5,PCA,PC4,PC5,-1.5234067077475774e-17,first_5_programs_from_rank10_fit
5,PCA,PC5,PC1,5.453731223259126e-18,first_5_programs_from_rank10_fit
5,PCA,PC5,PC2,-7.91796557472492e-18,first_5_programs_from_rank10_fit
5,PCA,PC5,PC3,-2.1669794547599077e-17,first_5_programs_from_rank10_fit
5,PCA,PC5,PC4,-1.523406707747577e-17,first_5_programs_from_rank10_fit
5,PCA,PC5,PC5,1.0,first_5_programs_from_rank10_fit
5,CP,CP1,CP1,1.0,first_5_programs_from_rank10_fit
5,CP,CP1,CP2,-0.13850087059892208,first_5_programs_from_rank10_fit
5,CP,CP1,CP3,0.08184640315931828,first_5_programs_from_rank10_fit
5,CP,CP1,CP4,0.0019286395527554365,first_5_programs_from_rank10_fit
5,CP,CP1,CP5,0.047107829831355814,first_5_programs_from_rank10_fit
5,CP,CP2,CP1,-0.13850087059892208,first_5_programs_from_rank10_fit
5,CP,CP2,CP2,1.0,first_5_programs_from_rank10_fit
5,CP,CP2,CP3,-0.19093974304868813,first_5_programs_from_rank10_fit
5,CP,CP2,CP4,0.279925413000421,first_5_programs_from_rank10_fit
5,CP,CP2,CP5,0.224955870342643,first_5_programs_from_rank10_fit
5,CP,CP3,CP1,0.08184640315931829,first_5_programs_from_rank10_fit
5,CP,CP3,CP2,-0.19093974304868813,first_5_programs_from_rank10_fit
5,CP,CP3,CP3,1.0,first_5_programs_from_rank10_fit
5,CP,CP3,CP4,0.015602932739432423,first_5_programs_from_rank10_fit
5,CP,CP3,CP5,-0.014989134481181568,first_5_programs_from_rank10_fit
5,CP,CP4,CP1,0.0019286395527554365,first_5_programs_from_rank10_fit
5,CP,CP4,CP2,0.279925413000421,first_5_programs_from_rank10_fit
5,CP,CP4,CP3,0.015602932739432423,first_5_programs_from_rank10_fit
5,CP,CP4,CP4,1.0,first_5_programs_from_rank10_fit
5,CP,CP4,CP5,-0.17546601452661914,first_5_programs_from_rank10_fit
5,CP,CP5,CP1,0.047107829831355814,first_5_programs_from_rank10_fit
5,CP,CP5,CP2,0.224955870342643,first_5_programs_from_rank10_fit
5,CP,CP5,CP3,-0.014989134481181568,first_5_programs_from_rank10_fit
5,CP,CP5,CP4,-0.17546601452661914,first_5_programs_from_rank10_fit
5,CP,CP5,CP5,1.0,first_5_programs_from_rank10_fit
5,VAE,VAE1,VAE1,0.9999999999999998,first_5_programs_from_rank10_fit
5,VAE,VAE1,VAE2,0.2036426757592225,first_5_programs_from_rank10_fit
5,VAE,VAE1,VAE3,0.21639844911000003,first_5_programs_from_rank10_fit
