Gene,Gene_display,CPVAE1,CPVAE2,CPVAE3,CPVAE4,CPVAE5,CPVAE6,CPVAE7,CPVAE8
N900_RS00015,mnmE,5.945977,1.945514,-0.13079756,-0.16840947,0.25578612,-0.9961325,0.095779665,0.08207005
N900_RS00025,yidD,4.2864065,0.14971831,-1.2243369,-0.57431394,-1.4340688,0.4721932,-0.24751008,1.1995472
N900_RS00040,yxeO,-1.3498354,0.9258321,-0.115926005,-1.4223884,0.18310437,-0.09486452,1.3733317,1.3252293
N900_RS00045,patM,3.0611117,-0.16708106,-2.2929826,0.9025203,-0.2083511,-1.5102351,0.058568396,0.94835573
N900_RS00050,patH,5.670791,3.0269372,-1.8906479,-1.332898,-0.41052827,-1.6690758,0.9046905,2.0323417
N900_RS00065,recF,2.6531146,2.4139323,-2.499591,-0.3190742,-0.10975897,-2.0545819,0.97168905,0.5901264
N900_RS00075,VC_0016,4.872902,3.5711474,-2.0343382,-1.0204345,-0.6798717,-1.0879334,-0.09890053,0.5910064
N900_RS00085,ibpA,1.0993795,3.2453022,-0.072992034,-1.4118456,-1.2833122,1.0167285,0.23640832,0.23807815
N900_RS00090,avtA,0.5899937,3.3098216,-0.3195498,-1.4435115,-0.18705973,-1.091221,1.6138312,-0.28853375
N900_RS00105,mneA,4.1138186,3.0833702,-3.3424199,-0.13874307,-1.5585263,-1.8369387,-0.24822545,1.6749598
N900_RS00110,NADH dehydrogenase subunit II-related protein,-0.63594717,-0.27610847,0.47460693,-1.546686,-0.020941868,0.9651812,0.75951606,0.14444883
N900_RS00120,VC_0025,2.5832405,2.792303,-3.1398065,-1.7836821,-0.31167108,-2.4571915,0.16158763,2.09715
N900_RS00125,acuI,5.130557,2.762603,-1.5656348,-1.7611022,-0.29336703,-1.4136722,0.35066214,2.0200353
N900_RS00130,ilvA,5.5871825,3.4778707,-1.7164267,-0.30224347,-1.1721182,-1.4720366,0.13344017,1.0840005
N900_RS00135,ilvD,4.9466553,3.4636872,-0.45521495,-0.68089104,-1.8174083,1.4318583,-0.2340903,0.4145132
N900_RS00140,ilvE,3.5471365,2.2922256,0.14473963,-0.05868575,-0.843969,1.6132939,0.84231716,0.39916417
N900_RS00145,ilvM,3.5911214,2.116305,-1.7250956,0.28073716,0.4065186,-1.1625428,1.0458721,1.5613083
N900_RS00150,ilvG,4.7070003,3.6219852,-2.7950768,-0.42442876,-1.621227,-3.32452,0.015180811,1.2273802
N900_RS00155,yifb,0.90532416,1.7320775,-1.6996381,-1.293448,-1.5006115,0.77430856,0.12188537,0.9713123
N900_RS00160,yihG,5.2092814,2.6122532,-2.1557262,-0.22650427,-0.94022536,0.07051946,0.4645954,1.8105435
N900_RS00165,dsba,4.0055294,2.5272732,-2.1049423,-2.8466928,-0.48737204,-1.2947215,0.009838261,1.1720687
N900_RS00170,serine/threonine protein kinase,3.994376,3.7738233,-3.1336281,-0.12905538,-1.154592,-1.0694649,-0.04079498,2.0919576
N900_RS00175,ccoG,1.7511283,4.2701683,-0.9003202,0.19623423,-1.9568218,-0.7900008,0.41096422,2.2145936
N900_RS00180,yihD,1.8901336,1.8214267,-0.29762876,-0.571367,-0.69249904,-1.014609,-1.9532877,0.23176098
N900_RS00185,VC_0038,3.3732493,0.60450315,-0.69445366,0.72926104,-1.5470521,-0.82575107,0.11326026,-1.3189291
N900_RS00190,SpoOM-related protein,3.3142805,3.482943,-3.2366138,-0.0004885122,-1.0858065,-2.9423466,0.5348571,0.22365937
N900_RS00195,yqfA,2.0885425,3.2481382,0.121311225,-1.3203806,0.22974834,-0.8588185,-0.12136941,1.2337948
N900_RS00200,VC_0041,2.999871,2.4129925,-2.2392368,0.816891,-0.10807539,-1.8243344,0.94151753,3.1341658
N900_RS00205,trkI,4.375887,3.3764617,-2.6903322,0.12114663,-0.5392488,-2.9837704,0.69576657,1.1039933
N900_RS00215,rsmB,2.0754757,3.6820636,-1.8958437,-0.7273831,0.49247953,-1.4467845,1.6304557,2.4900382
N900_RS00225,def1,-0.14088902,1.1312306,-2.5774434,0.24742866,0.7544098,-3.0697548,0.1906595,0.88708055
N900_RS00230,VC_0047,2.3566465,2.9569786,-4.356245,-0.15909776,0.22035998,-4.369991,0.8887618,1.8038789
N900_RS00235,dprA,4.409663,3.6860447,-1.0782298,-0.5767127,-0.28537568,-2.596587,0.29203185,1.0722082
N900_RS00240,smg,0.36082923,0.89850414,-3.109244,-0.45187032,-0.6905798,-3.031928,-0.1495896,2.070282
N900_RS00245,topA_1,4.5919695,2.9771817,-3.2618093,1.33979,-0.18550147,-3.5131083,0.5766584,0.94999486
N900_RS00250,purK,2.0858846,2.3601816,-0.55112517,-3.4673095,-0.6615137,-0.5544311,1.487211,-0.23510367
N900_RS00255,purE,3.268588,0.49606475,0.482045,-3.9487493,0.10145269,-0.020283846,0.1776847,-0.37805182
N900_RS00260,tsaC,4.4520354,3.438243,-1.3969704,-1.0331466,0.27828044,-2.2755709,-0.018339802,2.65655
N900_RS00265,hemF,-0.35184938,1.0118276,-1.320776,-1.2559592,1.5192076,-1.7065485,2.129961,1.8883632
N900_RS00270,aroE,2.6727414,3.7993324,-1.8423032,-3.3707275,-0.87885404,-0.44413382,0.4463738,1.3560891
N900_RS00275,VC_0057,5.443517,3.777473,-2.2388499,-0.17374322,-0.8241912,-2.2158666,0.08257478,1.5716717
N900_RS00280,yrdA,4.02726,2.3073938,-2.2814662,0.017203815,-0.97541,-0.5019265,-0.89343643,1.0838615
N900_RS00320,crcB,5.273449,3.349384,-0.56566,0.16635698,-0.064307615,-0.84084517,0.34312817,1.4954062
N900_RS00325,thiC,5.036954,2.1615071,-1.2981232,-0.45815325,-1.84677,0.16221352,0.49371812,1.4745224
N900_RS00330,thiE,0.05450204,1.4711264,-0.36123165,-1.8994113,-1.1425469,0.5345153,0.91114634,-0.005059026
N900_RS00335,thiF,0.37703192,2.2464597,-2.8474452,-2.3307278,-0.20095626,-2.4081244,-0.37946004,0.08639395
N900_RS00340,thiS,4.031133,3.6027176,-1.7004033,-0.6957536,-1.2992153,-2.6956813,-0.62856597,2.546888
N900_RS00345,thiG,3.6275756,1.7654328,0.14583094,-0.9103657,-0.71980405,-0.656033,0.93821496,1.4263772
N900_RS00350,thiH,4.5589685,4.155329,-3.3219657,0.30583143,-0.9811895,-2.3713071,0.68766207,1.9772066
N900_RS00355,aminopeptidase P,2.4779942,3.475975,-1.403729,0.38248694,0.4183559,-2.9434955,0.7765495,2.9535959
N900_RS00360,LysR family transcriptional regulator_1,1.4532875,2.1710434,-1.9360985,-0.7409967,-0.18332228,-0.58797145,-0.17623268,2.0596256
N900_RS00365,mdtL_1,2.7521265,1.4584001,-2.4965055,-0.06612283,-0.6485435,-1.582877,0.9835625,1.9400805
N900_RS00370,VC_0070,-2.2268624,0.999849,-2.6172695,0.98407346,0.70653975,-3.7006004,-0.09178015,1.1560988
N900_RS00375,asnC,-0.3922065,1.8765218,0.85903955,-1.5591586,-0.3317992,2.8228397,-0.29354423,-0.052565284
N900_RS00380,VC_0072,4.3860354,3.1893208,-1.3321851,-1.0844078,0.418058,-0.57765806,0.16927734,1.953022
N900_RS00385,rsmJ,4.946742,4.16643,-2.498682,-0.91918314,-0.63705945,-3.647363,0.3894957,2.1759715
N900_RS00390,VC_0074,2.411133,1.7191911,-2.141272,-2.7560122,-1.4771721,0.43588862,-0.63283736,2.5491655
N900_RS00395,eamA_2,3.3490844,2.0756667,-0.5814054,-0.3827507,-0.78564954,-0.39419928,0.08627913,-1.0519736
N900_RS00400,uspA_1,-1.1311709,1.2301922,-0.49039528,0.3865348,-1.5167475,0.2793265,-0.4733903,0.39134547
