Model,Program,Component,Direction,Gene,Gene_display,Loading,Abs_loading,Driver_category
PCA,PCA1,1,Positive,N900_RS03450,cheR,4.0336201516516885,4.0336201516516885,Chemotaxis / motility regulators
PCA,PCA1,1,Positive,N900_RS04840,motV,3.9879764181391435,3.9879764181391435,Uncategorized
PCA,PCA1,1,Positive,N900_RS14650,Nicotinamide riboside transporter PnuC_BLAST,3.7351872591994857,3.7351872591994857,Transporters / nutrient uptake systems
PCA,PCA1,1,Positive,N900_RS04100,cheA2,3.725705108772308,3.725705108772308,Chemotaxis / motility regulators
PCA,PCA1,1,Positive,N900_RS04120,cheW1,3.721898091453247,3.721898091453247,Chemotaxis / motility regulators
PCA,PCA1,1,Positive,N900_RS08775,oppA,3.570903174739679,3.570903174739679,Transporters / nutrient uptake systems
PCA,PCA1,1,Positive,N900_RS14365,molybdopterin-dependent oxidoreductase,3.560556045897041,3.560556045897041,Metabolic bottleneck enzymes
PCA,PCA1,1,Positive,N900_RS17910,VC_A0882,3.534569937909798,3.534569937909798,Uncategorized
PCA,PCA1,1,Positive,N900_RS05270,acoR,3.53286277690876,3.53286277690876,Transcription factors / DNA-binding regulators
PCA,PCA1,1,Positive,N900_RS18450,VC_A0997,3.502026795662017,3.502026795662017,Uncategorized
PCA,PCA1,1,Negative,N900_RS03760,flrB,-8.060483915809789,8.060483915809789,Chemotaxis / motility regulators
PCA,PCA1,1,Negative,N900_RS13740,cap3_BLAST,-7.976760341300588,7.976760341300588,Uncategorized
PCA,PCA1,1,Negative,N900_RS09185,motY,-7.851774785897297,7.851774785897297,Chemotaxis / motility regulators
PCA,PCA1,1,Negative,N900_RS09745,pomA,-7.723419097848779,7.723419097848779,Uncategorized
PCA,PCA1,1,Negative,N900_RS18745,ribB,-7.54882539766876,7.54882539766876,Metabolic bottleneck enzymes
PCA,PCA1,1,Negative,N900_RS03470,flgE,-7.535180866856178,7.535180866856178,Uncategorized
PCA,PCA1,1,Negative,N900_RS03785,fliH,-7.431850482619817,7.431850482619817,Uncategorized
PCA,PCA1,1,Negative,N900_RS09740,motb,-7.422886770716859,7.422886770716859,Chemotaxis / motility regulators
PCA,PCA1,1,Negative,N900_RS03500,flgK,-7.421552085842495,7.421552085842495,Uncategorized
PCA,PCA1,1,Negative,N900_RS13765,vspR,-7.381959872382984,7.381959872382984,Uncategorized
PCA,PCA2,2,Positive,N900_RS05745,mukB,5.877222865361476,5.877222865361476,Uncategorized
PCA,PCA2,2,Positive,N900_RS13300,purH,5.2421353413553735,5.2421353413553735,Uncategorized
PCA,PCA2,2,Positive,N900_RS10020,tcpS,5.104683534067787,5.104683534067787,Virulence master regulators / virulence structural genes
PCA,PCA2,2,Positive,N900_RS15715,VC_A0293,4.954197627389668,4.954197627389668,Uncategorized
PCA,PCA2,2,Positive,N900_RS01865,rpoN,4.881889175551079,4.881889175551079,Transcription factors / DNA-binding regulators
PCA,PCA2,2,Positive,N900_RS10000,toxT,4.780649797278892,4.780649797278892,Virulence master regulators / virulence structural genes
PCA,PCA2,2,Positive,N900_RS09205,purF,4.765394382819014,4.765394382819014,Uncategorized
PCA,PCA2,2,Positive,N900_RS19270,tcpR,4.759282505534735,4.759282505534735,Virulence master regulators / virulence structural genes
PCA,PCA2,2,Positive,N900_RS00255,purE,4.745833225440771,4.745833225440771,Uncategorized
PCA,PCA2,2,Positive,N900_RS09545,VC_0931,4.737178484646542,4.737178484646542,Envelope / LPS / O-antigen genes
PCA,PCA2,2,Negative,N900_RS11160,brxL,-4.1683764663562926,4.1683764663562926,Uncategorized
PCA,PCA2,2,Negative,N900_RS10885,flhD,-4.156398702033664,4.156398702033664,Uncategorized
PCA,PCA2,2,Negative,N900_RS11050,trau,-4.145911769079321,4.145911769079321,Uncategorized
PCA,PCA2,2,Negative,N900_RS14860,pepT,-4.0984582815918635,4.0984582815918635,Uncategorized
PCA,PCA2,2,Negative,N900_RS10705,anmK,-3.968832361802121,3.968832361802121,Metabolic bottleneck enzymes
PCA,PCA2,2,Negative,N900_RS19185,VC_0874,-3.9378362746292415,3.9378362746292415,Uncategorized
PCA,PCA2,2,Negative,N900_RS16445,VC0395_0503_BLAST,-3.9115355147188136,3.9115355147188136,Uncategorized
PCA,PCA2,2,Negative,N900_RS10990,cobS,-3.9095564963533103,3.9095564963533103,Uncategorized
PCA,PCA2,2,Negative,N900_RS10930,XRE family transcriptional regulator_7,-3.863193418927225,3.863193418927225,Transcription factors / DNA-binding regulators
PCA,PCA2,2,Negative,N900_RS04445,sppA,-3.835096967224699,3.835096967224699,Uncategorized
PCA,PCA3,3,Positive,N900_RS15500,VC_A0322,5.773580115459733,5.773580115459733,Uncategorized
PCA,PCA3,3,Positive,N900_RS18445,vcaM,5.611297981441148,5.611297981441148,Uncategorized
PCA,PCA3,3,Positive,N900_RS16275,tata,5.505100882708694,5.505100882708694,Uncategorized
PCA,PCA3,3,Positive,N900_RS11735,sspB,5.318645699554295,5.318645699554295,Uncategorized
PCA,PCA3,3,Positive,N900_RS03430,flgN,5.2490511032363765,5.2490511032363765,Stress-response regulators
PCA,PCA3,3,Positive,N900_RS06650,VC_1531,5.1521945887068545,5.1521945887068545,Uncategorized
PCA,PCA3,3,Positive,N900_RS10195,citE,5.034624785896005,5.034624785896005,Uncategorized
PCA,PCA3,3,Positive,N900_RS12285,VC_0457,4.970509824890255,4.970509824890255,Uncategorized
PCA,PCA3,3,Positive,N900_RS12700,assimilatory sulfite reductase (NADPH) flavoprotein subunit,4.888795214966678,4.888795214966678,Metabolic bottleneck enzymes
PCA,PCA3,3,Positive,N900_RS16620,rnk,4.875585211461445,4.875585211461445,Metabolic bottleneck enzymes
PCA,PCA3,3,Negative,N900_RS12480,rraB,-3.7495188901518275,3.7495188901518275,Uncategorized
PCA,PCA3,3,Negative,N900_RS02440,recJ,-3.72097003135881,3.72097003135881,Uncategorized
PCA,PCA3,3,Negative,N900_RS02115,long-chain fatty acid--CoA ligase,-3.676088143483055,3.676088143483055,Metabolic bottleneck enzymes
PCA,PCA3,3,Negative,N900_RS18695,VC_A1050,-3.5162662479089244,3.5162662479089244,Uncategorized
PCA,PCA3,3,Negative,N900_RS09090,moaD,-3.4259664415344213,3.4259664415344213,Uncategorized
PCA,PCA3,3,Negative,N900_RS06280,VC_1606,-3.419561324819652,3.419561324819652,Secretion systems / interbacterial competition genes
PCA,PCA3,3,Negative,N900_RS18620,VC_A1035,-3.3934184703124983,3.3934184703124983,Uncategorized
