Model,Gene,Gene_display,Program1,Program2,Program3,Program4,Program5,Program6,Program7,Program8,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range
CPVAE,N900_RS00015,mnmE,5.945977210998535,1.9455139636993408,-0.1307975649833679,-0.1684094667434692,0.255786120891571,-0.996132493019104,0.0957796648144722,0.0820700526237487,0.6908121666666667,-1.463,3.6738,6h_SI9,6h,SI9,3h_SI7,3h,SI7,5.1368
CPVAE,N900_RS00025,yidD,4.286406517028809,0.1497183144092559,-1.224336862564087,-0.5743139386177063,-1.43406879901886,0.4721932113170624,-0.2475100755691528,1.1995471715927124,0.268908745,-3.1212,3.9865,6h_SI7,6h,SI7,1h_co,1h,co,7.1076999999999995
CPVAE,N900_RS00040,yxeO,-1.3498353958129885,0.9258320927619934,-0.1159260049462318,-1.4223884344100952,0.1831043660640716,-0.0948645174503326,1.3733316659927368,1.325229287147522,0.1887202166666667,-1.3335,3.6232,12h_SI2,12h,SI2,6h_SI2,6h,SI2,4.9567
CPVAE,N900_RS00045,patM,3.0611116886138916,-0.1670810580253601,-2.292982578277588,0.9025202989578248,-0.2083511054515838,-1.510235071182251,0.0585683956742286,0.9483557343482972,1.7093390000000002,-0.21058,6.3068,1h_SI7,1h,SI7,3h_SI1,3h,SI1,6.51738
CPVAE,N900_RS00050,patH,5.670791149139404,3.026937246322632,-1.8906478881835935,-1.3328980207443235,-0.4105282723903656,-1.669075846672058,0.9046905040740968,2.032341718673706,0.8948083666666666,-0.43105,3.6854,1h_st,1h,st,6h_SI4,6h,SI4,4.11645
CPVAE,N900_RS00065,recF,2.6531145572662354,2.4139323234558105,-2.499591112136841,-0.3190742135047912,-0.109758973121643,-2.054581880569458,0.9716890454292296,0.5901263952255249,1.07110085,-0.72163,4.4447,6h_SI1,6h,SI1,6h_st,6h,st,5.16633
CPVAE,N900_RS00075,VC_0016,4.872901916503906,3.5711474418640137,-2.0343382358551025,-1.0204344987869265,-0.679871678352356,-1.0879334211349487,-0.0989005267620086,0.5910063982009888,1.432234166666667,0.21117,3.9921,1h_SI9,1h,SI9,3h_SI5,3h,SI5,3.78093
CPVAE,N900_RS00085,ibpA,1.099379539489746,3.245302200317383,-0.0729920342564582,-1.411845564842224,-1.283312201499939,1.0167285203933716,0.2364083230495453,0.2380781471729278,0.22538154383333336,-2.1899,3.4285,6h_co,6h,co,3h_SI4,3h,SI4,5.6184
CPVAE,N900_RS00090,avtA,0.5899937152862549,3.309821605682373,-0.3195497989654541,-1.4435114860534668,-0.1870597302913665,-1.0912209749221802,1.6138311624526978,-0.2885337471961975,0.7149570666666667,-0.89129,3.5684,12h_SI1,12h,SI1,6h_st,6h,st,4.45969
CPVAE,N900_RS00105,mneA,4.113818645477295,3.0833702087402344,-3.3424198627471924,-0.1387430727481842,-1.5585262775421145,-1.836938738822937,-0.248225450515747,1.6749597787857056,1.4696406666666666,0.19162,4.2295,1h_SI9,1h,SI9,3h_SI1,3h,SI1,4.0378799999999995
