Gene,Gene_display,CPVAE1,CPVAE2,CPVAE3,CPVAE4,CPVAE5,CPVAE6,CPVAE7,CPVAE8,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range,CPVAE_cluster
N900_RS00015,mnmE,5.945977,1.945514,-0.13079756,-0.16840947,0.25578612,-0.9961325,0.095779665,0.08207005,0.6908121666666667,-1.463,3.6738,6h_SI9,6h,SI9,3h_SI7,3h,SI7,5.1368,0
N900_RS00025,yidD,4.2864065,0.14971831,-1.2243369,-0.57431394,-1.4340688,0.4721932,-0.24751008,1.1995472,0.268908745,-3.1212,3.9865,6h_SI7,6h,SI7,1h_co,1h,co,7.1076999999999995,1
N900_RS00040,yxeO,-1.3498354,0.9258321,-0.115926005,-1.4223884,0.18310437,-0.09486452,1.3733317,1.3252293,0.1887202166666667,-1.3335,3.6232,12h_SI2,12h,SI2,6h_SI2,6h,SI2,4.9567,1
N900_RS00045,patM,3.0611117,-0.16708106,-2.2929826,0.9025203,-0.2083511,-1.5102351,0.058568396,0.94835573,1.7093390000000002,-0.21058,6.3068,1h_SI7,1h,SI7,3h_SI1,3h,SI1,6.51738,0
N900_RS00050,patH,5.670791,3.0269372,-1.8906479,-1.332898,-0.41052827,-1.6690758,0.9046905,2.0323417,0.8948083666666666,-0.43105,3.6854,1h_st,1h,st,6h_SI4,6h,SI4,4.11645,0
N900_RS00065,recF,2.6531146,2.4139323,-2.499591,-0.3190742,-0.10975897,-2.0545819,0.97168905,0.5901264,1.07110085,-0.72163,4.4447,6h_SI1,6h,SI1,6h_st,6h,st,5.16633,0
N900_RS00075,VC_0016,4.872902,3.5711474,-2.0343382,-1.0204345,-0.6798717,-1.0879334,-0.09890053,0.5910064,1.432234166666667,0.21117,3.9921,1h_SI9,1h,SI9,3h_SI5,3h,SI5,3.78093,0
N900_RS00085,ibpA,1.0993795,3.2453022,-0.072992034,-1.4118456,-1.2833122,1.0167285,0.23640832,0.23807815,0.22538154383333336,-2.1899,3.4285,6h_co,6h,co,3h_SI4,3h,SI4,5.6184,1
N900_RS00090,avtA,0.5899937,3.3098216,-0.3195498,-1.4435115,-0.18705973,-1.091221,1.6138312,-0.28853375,0.7149570666666667,-0.89129,3.5684,12h_SI1,12h,SI1,6h_st,6h,st,4.45969,1
N900_RS00105,mneA,4.1138186,3.0833702,-3.3424199,-0.13874307,-1.5585263,-1.8369387,-0.24822545,1.6749598,1.4696406666666666,0.19162,4.2295,1h_SI9,1h,SI9,3h_SI1,3h,SI1,4.0378799999999995,0
