Model,Gene,Gene_display,Program1,Program2,Program3,Program4,Program5,Program6,Program7,Program8,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range
VAE,N900_RS00015,mnmE,-1.8532575368881223,1.6275088787078855,-5.093111038208008,1.9505535364151,0.9454647898674012,3.95562481880188,-0.0661744549870491,-4.21696138381958,0.6908121666666667,-1.463,3.6738,6h_SI9,6h,SI9,3h_SI7,3h,SI7,5.1368
VAE,N900_RS00025,yidD,-0.4189956784248352,1.8769879341125488,-3.342113971710205,4.600407600402832,-2.3523523807525635,-0.875896692276001,0.4931047558784485,-2.754525899887085,0.268908745,-3.1212,3.9865,6h_SI7,6h,SI7,1h_co,1h,co,7.1076999999999995
VAE,N900_RS00040,yxeO,-3.482898473739624,1.2705661058425903,0.2528836727142334,3.150850772857666,-2.268784761428833,-4.013742446899414,-2.548867464065552,3.690261125564575,0.1887202166666667,-1.3335,3.6232,12h_SI2,12h,SI2,6h_SI2,6h,SI2,4.9567
VAE,N900_RS00045,patM,-0.1281536966562271,0.9717123508453368,-3.0576698780059814,2.387585163116455,-5.047478675842285,1.147905349731445,0.9366344809532166,-1.318078875541687,1.7093390000000002,-0.21058,6.3068,1h_SI7,1h,SI7,3h_SI1,3h,SI1,6.51738
VAE,N900_RS00050,patH,-6.014967918395996,-0.9134961366653442,-6.836851119995117,3.3888275623321533,0.8271505832672119,1.1698684692382812,-0.8660920858383179,-4.0255126953125,0.8948083666666666,-0.43105,3.6854,1h_st,1h,st,6h_SI4,6h,SI4,4.11645
VAE,N900_RS00065,recF,-6.1706862449646,0.6634625196456909,-3.184577703475952,3.767886877059937,0.3279581665992737,1.2095215320587158,0.3119894564151764,0.6658956408500671,1.07110085,-0.72163,4.4447,6h_SI1,6h,SI1,6h_st,6h,st,5.16633
VAE,N900_RS00075,VC_0016,-5.213710308074951,0.7390662431716919,-6.177037715911865,4.541687488555908,1.8348735570907593,1.399390459060669,-0.9700697660446168,-2.44260573387146,1.432234166666667,0.21117,3.9921,1h_SI9,1h,SI9,3h_SI5,3h,SI5,3.78093
VAE,N900_RS00085,ibpA,-0.539294958114624,0.2735049128532409,-3.149407148361206,3.0473384857177734,0.0175426118075847,-1.455908179283142,-5.748050212860107,1.4708062410354614,0.22538154383333336,-2.1899,3.4285,6h_co,6h,co,3h_SI4,3h,SI4,5.6184
VAE,N900_RS00090,avtA,-7.256093978881836,-1.0017610788345337,0.411672443151474,3.300949811935425,0.1873915195465088,0.5278076529502869,1.0877435207366943,0.8514149785041809,0.7149570666666667,-0.89129,3.5684,12h_SI1,12h,SI1,6h_st,6h,st,4.45969
VAE,N900_RS00105,mneA,-3.4347503185272217,-0.4616163372993469,-7.671248912811279,4.1905131340026855,1.296725511550903,0.2781970202922821,-0.9816205501556396,-0.7424842119216919,1.4696406666666666,0.19162,4.2295,1h_SI9,1h,SI9,3h_SI1,3h,SI1,4.0378799999999995
VAE,N900_RS00110,NADH dehydrogenase subunit II-related protein,-1.1562429666519165,2.259977340698242,0.1216224431991577,3.214317560195923,-3.8093795776367183,-4.379671096801758,-2.0068931579589844,2.440515518188477,-0.02647887833333334,-1.1285,2.2889,6h_SI2,6h,SI2,6h_SI3,6h,SI3,3.4173999999999998
VAE,N900_RS00120,VC_0025,-5.023070812225342,1.453019380569458,-6.7349934577941895,0.8731357455253601,0.8253313302993774,0.3607253432273865,-1.967058181762695,-0.1592559516429901,0.6445359399999998,-0.96701,3.9194,3h_SI9,3h,SI9,3h_SI1,3h,SI1,4.88641
