VAE1,VAE2,VAE3,VAE4,Gene,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range,VAE_reconstruction_MSE,VAE_cluster
-0.13454111,0.39101416,1.4022014,1.4643486,N900_RS00015,mnmE,0.6908121666666667,-1.463,3.6738,6h_SI9,6h,SI9,3h_SI7,3h,SI7,5.1368,0.1594592090659185,3
-0.06703116,-1.2529707,-0.947067,1.3281379,N900_RS00025,yidD,0.268908745,-3.1212,3.9865,6h_SI7,6h,SI7,1h_co,1h,co,7.1076999999999995,0.6205445074762893,6
-1.0269272,0.19796428,-1.5069118,-0.6911743,N900_RS00040,yxeO,0.1887202166666667,-1.3335,3.6232,12h_SI2,12h,SI2,6h_SI2,6h,SI2,4.9567,0.8074300413146221,5
-0.5734147,-0.9809975,-0.5890167,0.6689575,N900_RS00045,patM,1.7093390000000002,-0.21058,6.3068,1h_SI7,1h,SI7,3h_SI1,3h,SI1,6.51738,0.8397048240367404,6
0.43422145,0.34251228,0.67656684,0.19533086,N900_RS00050,patH,0.8948083666666666,-0.43105,3.6854,1h_st,1h,st,6h_SI4,6h,SI4,4.11645,0.2601094048633839,4
-1.2115954,-0.8935882,0.5662744,-0.8469334,N900_RS00065,recF,1.07110085,-0.72163,4.4447,6h_SI1,6h,SI1,6h_st,6h,st,5.16633,0.5710431151900086,1
0.86136454,-0.6048571,0.7614656,0.34202325,N900_RS00075,N900_RS00075,1.432234166666667,0.21117,3.9921,1h_SI9,1h,SI9,3h_SI5,3h,SI5,3.78093,0.1983735031180243,2
1.155597,-0.3900392,-1.0500605,-0.14039364,N900_RS00085,ibpA,0.2253815438333333,-2.1899,3.4285,6h_co,6h,co,3h_SI4,3h,SI4,5.6184,0.8828601298125034,2
-1.1999302,-0.054488108,-0.32336316,-0.365431,N900_RS00090,avtA,0.7149570666666667,-0.89129,3.5684,12h_SI1,12h,SI1,6h_st,6h,st,4.45969,0.7306653508414828,7
0.9071281,-1.1348574,0.21531758,-0.10634817,N900_RS00105,mneA,1.4696406666666666,0.19162,4.2295,1h_SI9,1h,SI9,3h_SI1,3h,SI1,4.0378799999999995,0.3192350867860331,2
-0.5311194,0.1127282,-2.0142221,0.07197054,N900_RS00110,NADH dehydrogenase subunit II-related protein,-0.0264788783333333,-1.1285,2.2889,6h_SI2,6h,SI2,6h_SI3,6h,SI3,3.4174,0.8684371141383863,5
1.8500309,0.73422545,-0.36338767,-0.98164135,N900_RS00120,N900_RS00120,0.6445359399999998,-0.96701,3.9194,3h_SI9,3h,SI9,3h_SI1,3h,SI1,4.88641,0.4787603720614191,2
0.86680424,0.6562187,0.53606945,0.23058994,N900_RS00125,acuI,1.0485218166666668,-0.080152,3.9734,24h_SI8,24h,SI8,1h_ce,1h,ce,4.053552,0.2253087164920887,4
0.09808019,-0.24797867,1.1555945,0.12948152,N900_RS00130,ilvA,1.6060143166666667,-0.054921,4.4043,1h_SI3,1h,SI3,12h_st,12h,st,4.459221,0.1808169333000755,1
0.76094806,-1.4558147,0.11296174,0.8753607,N900_RS00135,ilvD,1.2914153500000003,-0.34542,5.3665,3h_SI7,3h,SI7,12h_st,12h,st,5.71192,0.3935306975267131,6
-0.6776708,-0.8679961,-0.14897458,0.56520283,N900_RS00140,ilvE,2.0222916816666663,-0.23122,6.337,1h_SI5,1h,SI5,12h_st,12h,st,6.56822,0.5423012811430336,6
-0.75688815,0.04795396,0.5692811,-0.43862993,N900_RS00145,ilvM,1.66385,-0.11262,6.8711,1h_SI3,1h,SI3,1h_st,1h,st,6.98372,0.5445615913346469,1
-0.034441978,-0.69234437,0.9440261,-0.09258117,N900_RS00150,ilvG,1.4846871666666668,0.018497,5.1406,6h_SI8,6h,SI8,6h_SI2,6h,SI2,5.122103,0.4258945724495669,1
-0.11716528,-1.451747,-1.7567347,-0.34682864,N900_RS00155,yifb,0.6229813333333334,-0.86017,3.8262,3h_SI3,3h,SI3,3h_SI2,3h,SI2,4.68637,0.5478120336134744,6
0.49569643,-1.23418,0.27375817,0.11178671,N900_RS00160,yihG,1.1543101833333336,-0.43317,4.2116,6h_SI6,6h,SI6,12h_SI1,12h,SI1,4.644769999999999,0.3318968748741099,6
1.9686944,0.54183906,-0.24188271,1.1254642,N900_RS00165,dsba,0.12588415,-3.4222,3.7881,6h_SI8,6h,SI8,1h_SI1,1h,SI1,7.2103,0.3548524874134527,0
1.4712113,-0.96052223,0.3884965,-0.8710271,N900_RS00170,serine/threonine protein kinase,1.3087315166666664,-0.2317,3.81,1h_st,1h,st,3h_SI5,3h,SI5,4.0417,0.2121343200959285,2
-0.1542079,0.15977399,-0.08050488,-1.9692091,N900_RS00175,ccoG,1.7052086000000002,-0.011665,5.0217,6h_SI1,6h,SI1,6h_SI4,6h,SI4,5.033365,0.5108970784692598,5
0.98249304,1.440992,0.01180993,-0.063719906,N900_RS00180,yihD,0.6527487766666666,-2.3226,4.8509,6h_SI5,6h,SI5,3h_SI4,3h,SI4,7.173500000000001,0.8243037627030806,4
-2.3533504,-1.5405601,-0.06686325,1.2323908,N900_RS00185,N900_RS00185,1.9537398333333336,-1.9606,9.2447,12h_SI8,12h,SI8,6h_st,6h,st,11.2053,0.3780746992843111,7
-1.0246029,-1.2733076,1.290128,-0.6755443,N900_RS00190,SpoOM-related protein,1.258719116666667,-0.37554,4.6742,3h_SI3,3h,SI3,6h_st,6h,st,5.04974,0.2896324702707389,1
1.0744077,1.5839312,0.0039489195,-0.51298183,N900_RS00195,yqfA,1.2816228333333333,-1.3095,4.9413,12h_SI2,12h,SI2,3h_SI4,3h,SI4,6.2508,0.5365951510684118,4
-0.80449337,0.5415297,0.69475,-1.8796198,N900_RS00200,N900_RS00200,1.1777025166666666,-0.17352,4.1804,1h_SI2,1h,SI2,6h_SI4,6h,SI4,4.35392,0.4170067904303925,4
-0.80656934,-0.7848922,1.0554621,-0.16917172,N900_RS00205,trkI,1.5978866,-0.43912,5.0215,1h_SI9,1h,SI9,3h_SI3,3h,SI3,5.46062,0.3098908857538479,1
0.5082818,0.077538945,-0.42032337,-1.4397824,N900_RS00215,rsmB,1.1058841166666666,-0.54292,4.617,24h_st,24h,st,3h_SI3,3h,SI3,5.15992,0.545011874204388,5
-0.6632165,0.5901799,-0.9975741,-0.721744,N900_RS00225,def1,0.8774843333333333,-1.1415,4.8272,6h_co,6h,co,3h_SI1,3h,SI1,5.9687,0.8333844160991813,5
0.15990187,-0.24545984,0.38076484,-1.1300458,N900_RS00230,N900_RS00230,1.1709372333333334,-0.13227,4.6166,6h_SI2,6h,SI2,3h_SI1,3h,SI1,4.74887,0.508165512741172,2
-0.31201994,0.6769177,1.266595,-0.3292259,N900_RS00235,dprA,1.3675271666666662,0.10879,3.8477,1h_SI8,1h,SI8,3h_st,3h,st,3.73891,0.226177241127223,4
-0.72232443,0.29028717,-0.9993948,-0.6086808,N900_RS00240,smg,0.8821779666666667,-0.79253,4.6068,6h_SI2,6h,SI2,3h_SI1,3h,SI1,5.39933,0.9087467634896216,5
-0.92751575,-1.1812633,1.8354706,-0.60192895,N900_RS00245,topA_1,1.6392014999999998,-0.94353,6.1237,1h_SI8,1h,SI8,6h_st,6h,st,7.06723,0.1677062254258317,1
-0.22393705,0.27445132,-0.980716,1.335776,N900_RS00250,purK,-0.4720564078333333,-2.8608,3.9392,24h_SI5,24h,SI5,6h_SI1,6h,SI1,6.8,0.5526296649161674,0
0.7878914,1.3560324,-0.9487257,2.2423463,N900_RS00255,purE,-2.029291016666667,-5.0325,3.2053,12h_SI7,12h,SI7,1h_st,1h,st,8.2378,0.1850693087275477,0
1.1190059,1.6255598,0.9616585,-0.49798065,N900_RS00260,tsaC,0.90431485,-0.48726,4.666,6h_st,6h,st,3h_st,3h,st,5.15326,0.2008954323554965,4
-0.46663183,1.1777292,-1.4119372,-1.2181327,N900_RS00265,hemF,-0.4489359333333333,-2.6648,2.7986,12h_SI4,12h,SI4,6h_SI4,6h,SI4,5.4634,0.7424159648328776,5
1.8759938,0.41108987,-0.5601844,0.094463244,N900_RS00270,aroE,-0.4271091333333334,-2.1854,3.4301,24h_SI9,24h,SI9,1h_SI1,1h,SI1,5.6155,0.3831396502980204,2
0.4929816,-0.1104093,1.4368439,-0.25431597,N900_RS00275,N900_RS00275,1.4906737333333333,-0.011576,3.6762,1h_SI8,1h,SI8,3h_SI1,3h,SI1,3.687776,0.1812052949650356,1
1.3198231,-1.469522,-0.18160906,0.43305737,N900_RS00280,yrdA,1.496199483333333,-0.36939,4.21,6h_SI4,6h,SI4,3h_SI3,3h,SI3,4.57939,0.3715491683457043,6
0.015938357,0.58448577,1.2080854,-0.03907963,N900_RS00320,crcB,1.7163328333333332,-0.22227,4.6735,1h_SI4,1h,SI4,6h_SI4,6h,SI4,4.89577,0.2488786652681746,4
-0.2168027,-1.2557585,-0.45657378,0.4857704,N900_RS00325,thiC,1.7294315,0.21289,5.8496,1h_SI5,1h,SI5,12h_st,12h,st,5.63671,0.4187604925232505,6
-0.36531383,-0.2147456,-1.6989684,0.12823513,N900_RS00330,thiE,0.192363005,-1.3637,3.305,3h_SI1,3h,SI1,12h_st,12h,st,4.6687,0.7148446342469053,6
1.392971,0.4981363,-1.2952002,0.035182774,N900_RS00335,thiF,-0.08667852,-1.9753,2.4508,12h_SI1,12h,SI1,3h_SI4,3h,SI4,4.4261,0.667505993707824,0
0.7787621,1.2172307,0.8546624,-0.46681106,N900_RS00340,thiS,1.7268275833333335,-0.037845,4.8625,3h_ce,3h,ce,3h_st,3h,st,4.900345,0.2778122645745425,4
-1.0279135,0.8899939,0.20911987,0.23811905,N900_RS00345,thiG,1.2719991,-0.76005,4.8816,6h_SI5,6h,SI5,6h_SI2,6h,SI2,5.641649999999999,0.6090166448684133,7
0.21718732,-1.4304907,1.0019279,-1.0299504,N900_RS00350,thiH,1.591140666666667,-0.12643,4.3913,1h_SI9,1h,SI9,6h_SI2,6h,SI2,4.51773,0.1494354937153043,1
-0.081474796,1.6928178,0.57340205,-1.5518907,N900_RS00355,aminopeptidase P,1.48602565,-0.048651,4.2556,3h_ce,3h,ce,3h_st,3h,st,4.304251000000001,0.3639847339924863,4
0.1531467,0.28103247,-0.6062654,-0.7811137,N900_RS00360,LysR family transcriptional regulator_1,1.0657311433333334,-1.2061,4.6525,6h_SI1,6h,SI1,1h_st,1h,st,5.8586,0.5723579445097353,5
-0.60579664,-0.3401902,-0.41659456,-0.39271915,N900_RS00365,mdtL_1,1.440287,0.2639,6.1683,1h_SI7,1h,SI7,6h_ce,6h,ce,5.904400000000001,0.7124608331245675,7
-1.1558799,1.152981,-1.5551443,-1.7932999,N900_RS00370,N900_RS00370,0.9191276733333332,-1.2497,5.2072,12h_SI3,12h,SI3,6h_ce,6h,ce,6.4569,0.7203018326787856,5
0.7930657,-0.2658537,-1.6254078,0.2201999,N900_RS00375,asnC,0.4175280066666666,-0.98202,5.0777,12h_SI4,12h,SI4,3h_SI3,3h,SI3,6.05972,0.7498135716058805,0
1.2673742,0.562651,0.6885597,-0.16056055,N900_RS00380,N900_RS00380,1.3673203333333337,0.04101,4.5015,6h_st,6h,st,3h_SI2,3h,SI2,4.46049,0.2763287705505233,2
0.48106492,0.42876604,1.3934605,-0.5700369,N900_RS00385,rsmJ,0.923446095,-0.61044,3.6809,12h_st,12h,st,3h_SI4,3h,SI4,4.29134,0.1563020541427408,4
1.767498,-0.28600377,-1.2297096,0.0958274,N900_RS00390,N900_RS00390,-0.0396161666666666,-1.9855,3.2288,6h_SI3,6h,SI3,1h_SI1,1h,SI1,5.2143,0.5418515604724445,2
-1.1850185,-0.80093473,0.17622834,0.8346443,N900_RS00395,eamA_2,1.3076575333333331,-0.36745,4.8676,6h_SI4,6h,SI4,6h_st,6h,st,5.23505,0.4805900523817807,7
-0.96439564,-0.7514514,-1.5286949,-0.5778365,N900_RS00400,uspA_1,0.6777416833333333,-1.0016,6.4547,1h_SI4,1h,SI4,6h_ce,6h,ce,7.4563,0.799144138941697,5
-0.6191097,-1.1014904,-0.82201266,0.42081904,N900_RS00410,ftnA,0.5691082033333335,-0.83519,3.5502,24h_ce,24h,ce,6h_st,6h,st,4.38539,0.7396676558498803,6
-1.6463656,0.7748541,1.3116015,0.20216772,N900_RS00415,uspB,1.58307705,-0.5983,5.368,1h_SI6,1h,SI6,3h_st,3h,st,5.9663,0.2911433832749902,4
0.1094877,0.32809448,-0.96125793,0.036697805,N900_RS00420,rdsA_BLAST,0.3981370333333334,-1.4084,3.71,6h_SI1,6h,SI1,1h_SI1,1h,SI1,5.1184,0.656201581140071,0
-1.1031806,-1.1863202,0.016148336,-0.21006772,N900_RS00425,eamA_1,1.3472523999999997,-0.015277,4.29,3h_st,3h,st,6h_SI3,6h,SI3,4.305277,0.4305994194757082,1
0.9008336,-1.3383498,-0.98881745,0.7739946,N900_RS00430,rmuC,0.5036677166666667,-1.0591,4.7668,24h_SI1,24h,SI1,3h_SI3,3h,SI3,5.8259,0.5040911683103956,6
0.8203785,-0.5922545,0.12392295,-1.1708751,N900_RS00440,ubiJ,1.5304535166666662,-0.060119,4.8463,6h_SI3,6h,SI3,3h_SI5,3h,SI5,4.9064190000000005,0.5611150224424986,2
-0.4535256,0.7048214,-0.27584565,-0.8105869,N900_RS00450,tatA,1.3249814333333334,-0.60989,7.068,1h_SI4,1h,SI4,3h_SI5,3h,SI5,7.67789,0.6538223284534598,5
-0.060828045,-1.9186164,0.68757606,-0.92030513,N900_RS00455,tatB,1.6623136333333333,-0.048393,5.0921,24h_SI7,24h,SI7,12h_SI1,12h,SI1,5.140493,0.2311316591739323,1
0.36353165,0.02563084,0.5785724,-1.2709086,N900_RS00460,tatC,1.45581105,-0.33556,6.3457,1h_SI2,1h,SI2,3h_SI1,3h,SI1,6.68126,0.6158499732992768,2
0.73990095,-1.3736844,-0.0066162124,-0.99348074,N900_RS00465,ccp,0.8202505083333335,-0.66306,4.3113,6h_st,6h,st,12h_SI2,12h,SI2,4.97436,0.2863728612782739,2
-0.93915665,-1.5174692,0.8410854,-0.27607197,N900_RS00470,dinF,0.811699605,-0.80583,3.963,3h_SI7,3h,SI7,6h_st,6h,st,4.76883,0.5176549071619087,1
-1.2234402,0.15667842,-0.19595972,0.93933475,N900_RS00475,class I SAM-dependent methyltransferase_2,1.5607054466666666,-1.2064,5.891,12h_SI4,12h,SI4,6h_SI3,6h,SI3,7.0974,0.8205691910884056,7
-1.1462905,0.3789914,-0.05997996,0.37604725,N900_RS00480,lexA,0.63223435,-2.1795,6.2653,1h_SI4,1h,SI4,6h_SI2,6h,SI2,8.4448,0.7938061633622936,7
-1.485678,-0.24011588,-0.2899434,1.2132261,N900_RS00485,plsB,-0.3495557234999999,-2.5303,2.5991,12h_SI5,12h,SI5,12h_st,12h,st,5.1294,0.7541711227817679,7
-0.028094456,0.046648555,1.7569293,1.9521706,N900_RS00490,ubiA,1.662903361666667,-0.25003,3.8569,6h_SI9,6h,SI9,12h_st,12h,st,4.10693,0.0243774159634849,3
1.1522844,-0.09430956,0.34031364,-2.0416338,N900_RS00495,chorismate lyase,1.532603333333333,0.35757,5.65,1h_SI7,1h,SI7,3h_SI4,3h,SI4,5.29243,0.3329303753035424,2
-0.590313,0.6759762,-1.225329,-0.08730364,N900_RS00505,fliL_2,0.62630315,-1.1791,4.6909,12h_SI1,12h,SI1,6h_ce,6h,ce,5.87,0.937167233343926,5
0.24000667,-0.62506,-1.1046122,-0.17812188,N900_RS00510,methyl-accepting chemotaxis protein_4,0.5143753383333334,-0.88686,4.4865,6h_SI1,6h,SI1,3h_SI3,3h,SI3,5.37336,0.5905496453191584,6
0.94817847,0.74606055,1.2108029,-0.71506184,N900_RS00515,glpG,1.3559726438333333,-0.029649,4.2055,3h_SI6,3h,SI6,3h_SI2,3h,SI2,4.235149,0.257901984971482,4
0.1522471,0.020645149,-0.70022315,0.5577003,N900_RS00520,glpE,0.17198755,-1.8139,3.3697,6h_ce,6h,ce,3h_SI3,3h,SI3,5.1836,0.6791158630979782,0
1.2168458,-0.25293502,-2.8515263,-0.09451233,N900_RS00525,N900_RS00525,-0.5902245206666665,-2.5925,3.1908,24h_st,24h,st,1h_SI1,1h,SI1,5.7833,0.3742315050274032,0
-0.0060626864,1.6198964,-2.4151664,0.12508197,N900_RS00530,tatd,-0.7705138500000001,-2.6296,2.9959,24h_st,24h,st,3h_SI5,3h,SI5,5.6255,0.6584717328595163,0
-0.43648356,-0.47918624,0.17908296,-0.5418185,N900_RS00540,ypeA_1,0.1845046133333334,-1.1433,3.5878,3h_SI3,3h,SI3,1h_SI1,1h,SI1,4.7311,0.6050623781638211,1
-0.60631865,-0.14927833,-0.72073025,-1.0208845,N900_RS00555,cc4,1.3794895216666665,-0.6652,6.5821,1h_SI5,1h,SI5,6h_SI4,6h,SI4,7.247299999999999,0.6160344693677913,5
-0.026503772,0.39195246,1.1962266,0.07124578,N900_RS00560,class I SAM-dependent methyltransferase_4,1.0447400999999998,-0.16738,3.3627,24h_SI9,24h,SI9,3h_SI2,3h,SI2,3.53008,0.2342201515284471,4
0.06235858,0.933007,0.29265454,-0.6623915,N900_RS00565,yihI,1.6190095500000004,-0.56646,5.6083,1h_SI2,1h,SI2,1h_SI1,1h,SI1,6.17476,0.6355367856267586,4
