Program,Gene,Gene_display,Loading,Abs_loading,Direction,Is_putative_TF,Functional_category,Annotation_text
CPVAE1,N900_RS15695,N900_RS15695,15.29209,15.29209,Positive,False,Other/unknown, |  |  |  |  |  |  |  | VC_A0361 | 100.0
CPVAE1,N900_RS09770,yqcC,15.065839,15.065839,Positive,False,Other/unknown,yqcC | yqcC |  |  |  |  |  |  | VC_0887 | 100.0
CPVAE1,N900_RS09985,acfC,14.207258,14.207258,Positive,False,Other/unknown,acfC | acfC |  |  |  |  |  |  |  | 
CPVAE1,N900_RS15245,N900_RS15245,14.136514,14.136514,Positive,False,Other/unknown, |  |  |  |  |  |  |  | VC_A0265 | 100.0
CPVAE1,N900_RS10660,trpR,14.031635,14.031635,Positive,False,Other/unknown,trpR | trpR | trpR | trpR |  |  |  |  | VC_0701 | 99.2
CPVAE1,N900_RS00925,gspJ,13.970476,13.970476,Positive,False,Other/unknown,gspJ | gspJ | epsJ | epsJ |  |  |  |  | VC_2727 | 100.0
CPVAE1,N900_RS00185,N900_RS00185,13.521859,13.521859,Positive,False,Other/unknown, |  |  |  |  |  |  |  | VC_0038 | 100.0
CPVAE1,N900_RS11695,can,12.806696,12.806696,Positive,False,Metabolism/transport,can | can |  |  | carbonate dehydratase |  |  |  | VC_0586 | 100.0
CPVAE1,N900_RS18090,N900_RS18090,12.771889,12.771889,Positive,False,Other/unknown, |  |  |  | DUF406 family protein |  |  | UPF0381 protein YiiS | VC_A0919 | 100.0
CPVAE1,N900_RS04890,methyl-accepting chemotaxis protein_3,12.658517,12.658517,Positive,False,Motility/chemotaxis,methyl-accepting chemotaxis protein_3 | methyl-accepting chemotaxis protein_3 |  |  | methyl-accepting chemotaxis protein |  |  |  | VC_1898 | 100.0
CPVAE1,N900_RS06010,ybhS,12.59856,12.59856,Positive,False,Metabolism/transport,ybhS | ybhS |  |  | ABC transporter permease |  |  |  | VC_1608 | 23.5
CPVAE1,N900_RS10105,IS481-like element ISVch1 family transposase,12.488526,12.488526,Positive,False,Other/unknown,IS481-like element ISVch1 family transposase | IS481-like element ISVch1 family transposase |  |  | IS481-like element ISVch1 family transposase |  |  |  | VC_0817 | 100.0
CPVAE1,N900_RS14210,N900_RS14210,-14.2930355,14.2930355,Negative,False,Other/unknown, |  |  |  |  |  |  |  | VC_A0039 | 99.3
CPVAE1,N900_RS03960,Nif3-like dinuclear metal center hexameric protein,-14.136044,14.136044,Negative,False,Other/unknown,Nif3-like dinuclear metal center hexameric protein | Nif3-like dinuclear metal center hexameric protein |  |  | Nif3-like dinuclear metal center hexameric protein |  |  |  | VC_2093 | 100.0
CPVAE1,N900_RS00370,N900_RS00370,-13.894272,13.894272,Negative,False,Other/unknown, |  |  |  |  |  |  |  | VC_0070 | 100.0
CPVAE1,N900_RS13780,tadA_2,-13.3406,13.3406,Negative,False,Other/unknown,tadA_2 | tadA_2 |  |  | deoxycytidylate deaminase |  |  |  | VC_0175 | 99.8
CPVAE1,N900_RS18565,N900_RS18565,-13.294039,13.294039,Negative,False,Other/unknown, |  |  |  | DUF3081 domain-containing protein |  |  |  | VC_A1024 | 100.0
CPVAE1,N900_RS18430,grxB,-13.192932,13.192932,Negative,False,Other/unknown,grxB | grxB |  |  |  |  |  |  | VC_A0992 | 100.0
CPVAE1,N900_RS02325,ygiF,-12.969554,12.969554,Negative,False,Other/unknown,ygiF | ygiF |  |  | inorganic triphosphatase |  |  |  | VC_2440 | 100.0
